,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
24,1,Guanyu Zhou,Alfa Romeo Ferrari,20,1:44.411,200.220,16:52:17
14,2,Fernando Alonso,Alpine Renault,25,1:44.412,200.218,17:00:46
16,3,Charles Leclerc,Ferrari,10,1:44.489,200.070,16:33:12
1,4,Max Verstappen,Red Bull Racing RBPT,10,1:44.911,199.266,16:33:08
18,5,Lance Stroll,Aston Martin Aramco Mercedes,21,1:45.205,198.709,16:53:56
10,6,Pierre Gasly,AlphaTauri RBPT,22,1:45.387,198.366,16:55:53
44,7,Lewis Hamilton,Mercedes,11,1:45.530,198.097,16:35:12
22,8,Yuki Tsunoda,AlphaTauri RBPT,22,1:45.893,197.418,16:55:48
11,9,Sergio Perez,Red Bull Racing RBPT,11,1:46.120,196.995,16:35:06
47,10,Mick Schumacher,Haas Ferrari,13,1:46.545,196.210,16:39:23
31,11,Esteban Ocon,Alpine Renault,11,1:46.559,196.184,16:35:11
5,12,Sebastian Vettel,Aston Martin Aramco Mercedes,13,1:46.964,195.441,16:38:52
63,13,George Russell,Mercedes,21,1:47.004,195.368,16:53:29
77,14,Valtteri Bottas,Alfa Romeo Ferrari,11,1:47.820,193.889,16:35:30
3,15,Daniel Ricciardo,McLaren Mercedes,11,1:47.843,193.848,16:35:28
20,16,Kevin Magnussen,Haas Ferrari,10,1:48.072,193.437,16:33:41
4,17,Lando Norris,McLaren Mercedes,8,1:48.175,193.253,16:29:54
6,18,Nicholas Latifi,Williams Mercedes,12,1:48.371,192.904,16:37:09
