,Position,Driver,Car,Time / Gap,Laps
9,1,Mika Hakkinen,McLaren Mercedes,1:17.998,27
22,2,Rubens Barrichello,Stewart Ford,+0.341s,24
8,3,Gerhard Berger,Benetton Renault,+0.436s,30
11,4,Ralf Schumacher,Jordan Peugeot,+0.715s,20
7,5,Jean Alesi,Benetton Renault,+0.796s,24
10,6,David Coulthard,McLaren Mercedes,+0.914s,30
4,7,Heinz-Harald Frentzen,Williams Renault,+0.928s,29
5,8,Michael Schumacher,Ferrari,+0.956s,29
12,9,Giancarlo Fisichella,Jordan Peugeot,+1.036s,29
1,10,Damon Hill,Arrows Yamaha,+1.093s,22
14,11,Olivier Panis,Prost Mugen Honda,+1.414s,30
3,12,Jacques Villeneuve,Williams Renault,+1.642s,30
6,13,Eddie Irvine,Ferrari,+1.710s,23
2,14,Pedro Diniz,Arrows Yamaha,+1.752s,14
15,15,Shinji Nakano,Prost Mugen Honda,+2.075s,30
16,16,Johnny Herbert,Sauber Petronas,+2.375s,26
23,17,Jan Magnussen,Stewart Ford,+2.594s,7
18,18,Jos Verstappen,Tyrrell Ford,+2.949s,27
19,19,Mika Salo,Tyrrell Ford,+3.120s,30
17,20,Gianni Morbidelli,Sauber Petronas,+3.389s,30
21,21,Tarso Marques,Minardi Hart,+3.426s,26
20,22,Ukyo Katayama,Minardi Hart,+20.346s,6
