,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Michael Schumacher,Ferrari,45,1:36.412,206.974
2,2,Rubens Barrichello,Ferrari,24,1:36.542,206.695
6,3,Kimi Räikkönen,McLaren Mercedes,10,1:36.764,206.221
8,4,Fernando Alonso,Renault,12,1:37.078,205.554
7,5,Jarno Trulli,Renault,53,1:37.484,204.698
3,6,Juan Pablo Montoya,Williams BMW,26,1:37.787,204.063
5,7,David Coulthard,McLaren Mercedes,2,1:38.021,203.576
4,8,Ralf Schumacher,Williams BMW,24,1:38.071,203.472
21,9,Cristiano da Matta,Toyota,35,1:38.156,203.296
20,10,Olivier Panis,Toyota,7,1:38.176,203.255
17,11,Jenson Button,BAR Honda,10,1:38.413,202.765
14,12,Mark Webber,Jaguar Cosworth,6,1:38.464,202.660
9,13,Nick Heidfeld,Sauber Petronas,9,1:38.528,202.529
15,14,Antonio Pizzonia,Jaguar Cosworth,3,1:38.572,202.438
10,15,Heinz-Harald Frentzen,Sauber Petronas,19,1:39.287,200.980
12,16,Ralph Firman,Jordan Ford,14,1:39.665,200.218
19,17,Jos Verstappen,Minardi Cosworth,3,1:39.667,200.214
18,18,Justin Wilson,Minardi Cosworth,12,1:39.752,200.044
