,Position,Driver,Car,Time / Gap,Laps
1,1,Michael Schumacher,Ferrari,1:33.391,7
8,2,Fernando Alonso,Renault,+0.784s,12
4,3,Ralf Schumacher,Williams BMW,+0.848s,8
2,4,Rubens Barrichello,Ferrari,+0.971s,9
5,5,David Coulthard,McLaren Mercedes,+1.024s,9
7,6,Jarno Trulli,Renault,+1.091s,14
3,7,Juan Pablo Montoya,Williams BMW,+1.156s,12
14,8,Mark Webber,Jaguar Cosworth,+1.379s,5
9,9,Jenson Button,BAR Honda,+1.448s,11
11,10,Giancarlo Fisichella,Sauber Petronas,+2.125s,9
16,11,Cristiano da Matta,Toyota,+2.287s,4
10,12,Takuma Sato,BAR Honda,+2.306s,16
17,13,Olivier Panis,Toyota,+2.306s,10
12,14,Felipe Massa,Sauber Petronas,+2.422s,10
15,15,Christian Klien,Jaguar Cosworth,+2.715s,8
18,16,Nick Heidfeld,Jordan Ford,+3.803s,9
19,17,Giorgio Pantano,Jordan Ford,+4.911s,11
21,18,Zsolt Baumgartner,Minardi Cosworth,+5.622s,13
20,19,Gianmaria Bruni,Minardi Cosworth,+5.818s,11
6,20,Kimi Räikkönen,McLaren Mercedes,,4
