,Position,Driver,Car,Laps,Time,Points
5,1,Fernando Alonso,Renault,56,1:31:33.736,10
16,2,Jarno Trulli,Toyota,56,+24.327s,8
8,3,Nick Heidfeld,Williams BMW,56,+32.188s,6
10,4,Juan Pablo Montoya,McLaren Mercedes,56,+41.631s,5
17,5,Ralf Schumacher,Toyota,56,+51.854s,4
14,6,David Coulthard,RBR Cosworth,56,+72.543s,3
1,7,Michael Schumacher,Ferrari,56,+79.988s,2
15,8,Christian Klien,RBR Cosworth,56,+80.835s,1
9,9,Kimi Räikkönen,McLaren Mercedes,56,+81.580s,0
12,10,Felipe Massa,Sauber Petronas,55,+1 lap,0
19,11,Narain Karthikeyan,Jordan Toyota,54,+2 laps,0
18,12,Tiago Monteiro,Jordan Toyota,53,+3 laps,0
21,13,Christijan Albers,Minardi Cosworth,52,+4 laps,0
2,NC,Rubens Barrichello,Ferrari,49,DNF,0
6,NC,Giancarlo Fisichella,Renault,36,DNF,0
7,NC,Mark Webber,Williams BMW,36,DNF,0
11,NC,Jacques Villeneuve,Sauber Petronas,26,DNF,0
3,NC,Jenson Button,BAR Honda,2,DNF,0
4,NC,Anthony Davidson,BAR Honda,2,DNF,0
20,NC,Patrick Friesacher ,Minardi Cosworth,2,DNF,0
