,Position,Driver,Car,Time
4,1,Lewis Hamilton,McLaren Mercedes,1:36.219
3,2,Jenson Button,McLaren Mercedes,1:36.368
7,3,Michael Schumacher,Mercedes,1:36.391
2,4,Mark Webber,Red Bull Racing Renault,1:36.461
1,5,Sebastian Vettel,Red Bull Racing Renault,1:36.634
10,6,Romain Grosjean,Lotus Renault,1:36.658
8,7,Nico Rosberg,Mercedes,1:36.664
5,8,Fernando Alonso,Ferrari,1:37.566
15,9,Sergio Perez,Sauber Ferrari,1:37.698
9,10,Kimi Räikkönen,Lotus Renault,1:36.461
18,11,Pastor Maldonado,Williams Renault,1:37.589
6,12,Felipe Massa,Ferrari,1:37.731
19,13,Bruno Senna,Williams Renault,1:37.841
11,14,Paul di Resta,Force India Mercedes,1:37.877
16,15,Daniel Ricciardo,STR Ferrari,1:37.883
12,16,Nico Hulkenberg,Force India Mercedes,1:37.890
14,17,Kamui Kobayashi,Sauber Ferrari,1:38.069
17,18,Jean-Eric Vergne,STR Ferrari,1:39.077
21,19,Vitaly Petrov,Caterham Renault,1:39.567
24,20,Timo Glock,Marussia Cosworth,1:40.903
25,21,Charles Pic,Marussia Cosworth,1:41.250
22,22,Pedro de la Rosa,HRT Cosworth,1:42.914
23,23,Narain Karthikeyan,HRT Cosworth,1:43.655
20,24,Heikki Kovalainen,Caterham Renault,1:39.306
