,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian Vettel,Red Bull Racing Renault,1:37.899,1:37.245,1:49.674,13
4,2,Felipe Massa,Ferrari,1:37.712,1:36.874,1:50.587,15
3,3,Fernando Alonso,Ferrari,1:37.314,1:36.877,1:50.727,14
10,4,Lewis Hamilton,Mercedes,1:37.513,1:36.517,1:51.699,15
2,5,Mark Webber,Red Bull Racing Renault,1:37.619,1:36.449,1:52.244,14
9,6,Nico Rosberg,Mercedes,1:37.239,1:36.190,1:52.519,14
7,7,Kimi Räikkönen,Lotus Renault,1:36.959,1:36.640,1:52.970,12
5,8,Jenson Button,McLaren Mercedes,1:37.487,1:37.117,1:53.175,14
15,9,Adrian Sutil,Force India Mercedes,1:36.809,1:36.834,1:53.439,12
6,10,Sergio Perez,McLaren Mercedes,1:37.702,1:37.342,1:54.136,16
8,11,Romain Grosjean,Lotus Renault,1:37.363,1:37.636,,7
11,12,Nico Hulkenberg,Sauber Ferrari,1:37.931,1:38.125,,12
19,13,Daniel Ricciardo,STR Ferrari,1:37.722,1:38.822,,12
12,14,Esteban Gutierrez ,Sauber Ferrari,1:37.707,1:39.221,,14
14,15,Paul di Resta,Force India Mercedes,1:37.493,1:44.509,,10
16,16,Pastor Maldonado,Williams Renault,1:37.867,DNS,,10
18,17,Jean-Eric Vergne,STR Ferrari,1:38.157,,,8
17,18,Valtteri Bottas,Williams Renault,1:38.207,,,7
22,19,Jules Bianchi,Marussia Cosworth,1:38.434,,,8
20,20,Charles Pic,Caterham Renault,1:39.314,,,6
23,21,Max Chilton,Marussia Cosworth,1:39.672,,,8
21,22,Giedo van der Garde,Caterham Renault,1:39.932,,,6
