,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
6,1,Nico Rosberg,Mercedes,43,1:42.062,195.516,16:22:26
44,2,Lewis Hamilton,Mercedes,45,1:43.125,193.501,16:25:40
5,3,Sebastian Vettel,Ferrari,46,1:43.648,192.524,16:27:13
12,4,Felipe Nasr,Sauber Ferrari,45,1:43.902,192.054,16:27:39
19,5,Felipe Massa,Williams Mercedes,40,1:43.990,191.891,16:17:47
77,6,Valtteri Bottas,Williams Mercedes,42,1:44.088,191.710,16:21:20
7,7,Kimi Räikkönen,Ferrari,40,1:44.124,191.644,16:17:30
26,8,Daniil Kvyat,Red Bull Racing Renault,41,1:44.514,190.929,16:20:06
33,9,Max Verstappen,STR Renault,42,1:44.579,190.810,16:21:39
8,10,Romain Grosjean,Lotus Mercedes,36,1:44.812,190.386,16:11:22
27,11,Nico Hulkenberg,Force India Mercedes,46,1:44.822,190.368,16:29:37
13,12,Pastor Maldonado,Lotus Mercedes,38,1:45.070,189.919,16:15:01
3,13,Daniel Ricciardo,Red Bull Racing Renault,42,1:45.312,189.482,16:21:43
11,14,Sergio Perez,Force India Mercedes,37,1:45.345,189.423,16:13:19
55,15,Carlos Sainz,STR Renault,37,1:45.507,189.132,16:12:46
22,16,Jenson Button,McLaren Honda,38,1:46.056,188.153,16:14:57
14,17,Fernando Alonso,McLaren Honda,17,1:48.460,183.983,15:36:24
9,18,Marcus Ericsson,Sauber Ferrari,3,1:48.760,183.475,15:09:09
98,19,Roberto Merhi,Marussia Ferrari,44,1:49.040,183.004,16:28:36
