,Position,Driver,Car,Time / Gap
1,1,Ayrton Senna,McLaren Honda,1:20.328
2,2,Alain Prost,McLaren Honda,+0.820s
27,3,Nigel Mansell,Ferrari,+1.092s
5,4,Thierry Boutsen,Williams Renault,+2.194s
3,5,Jonathan  Palmer,Tyrrell Ford,+2.205s
7,6,Martin Brundle,Brabham Judd,+2.270s
4,7,Michele Alboreto,Tyrrell Ford,+2.342s
30,8,Philippe Alliot,Lola Lamborghini,+2.423s
12,9,Satoru Nakajima,Lotus Judd,+2.445s
9,10,Derek Warwick,Arrows Ford,+2.477s
6,11,Riccardo Patrese,Williams Renault,+2.496s
19,12,Alessandro Nannini,Benetton Ford,+2.578s
11,13,Nelson Piquet,Lotus Judd,+2.629s
8,14,Stefano Modena,Brabham Judd,+2.630s
16,15,Ivan Capelli,March Judd,+2.659s
21,16,Alex Caffi,Dallara Ford,+2.720s
40,17,Gabriele Tarquini,AGS Ford,+2.784s
10,18,Eddie  Cheever,Arrows Ford,+2.872s
28,19,Gerhard Berger,Ferrari,+2.927s
26,20,Olivier Grouillard,Ligier Ford,+2.974s
20,21,Johnny Herbert,Benetton Ford,+3.230s
36,22,Stefan Johansson,Onyx Ford,+3.232s
22,23,Andrea de Cesaris,Dallara Ford,+3.649s
38,24,Christian Danner,Rial Ford,+3.848s
15,25,Mauricio Gugelmin,March Judd,+3.884s
25,26,Rene Arnoux,Ligier Ford,+3.948s
29,27,Yannick Dalmas,Lola Lamborghini,+5.683s
23,28,Pierluigi Martini,Minardi Ford,+6.260s
31,29,Roberto Moreno,Coloni Ford,+10.516s
24,30,Luis Perez-Sala,Minardi Ford,+11.029s
