,Position,Driver,Car,Lap,Time
2,1,Gerhard Berger,McLaren Honda,60,1:17.711
5,2,Nigel Mansell,Williams Renault,62,1:17.765
6,3,Riccardo Patrese,Williams Renault,59,1:17.920
19,4,Michael Schumacher,Benetton Ford,62,1:18.056
4,5,Andrea de Cesaris,Tyrrell Ilmor,56,1:19.034
11,6,Mika Hakkinen,Lotus Ford,56,1:19.427
21,7,Jyrki Jarvilehto,Dallara Ferrari,57,1:19.589
12,8,Johnny Herbert,Lotus Ford,58,1:19.634
25,9,Thierry Boutsen,Ligier Renault,58,1:19.648
20,10,Martin Brundle,Benetton Ford,38,1:19.688
26,11,Erik Comas,Ligier Renault,61,1:20.200
24,12,Gianni Morbidelli,Minardi Lamborghini,28,1:20.681
1,13,Ayrton Senna,McLaren Honda,9,1:20.721
27,14,Jean Alesi,Ferrari,21,1:20.965
22,15,Pierluigi Martini,Dallara Ferrari,31,1:21.057
29,16,Bertrand Gachot,Venturi Lamborghini,61,1:21.364
30,17,Ukyo Katayama,Venturi Lamborghini,51,1:21.397
15,18,Gabriele Tarquini,Fondmetal Ford,41,1:21.663
14,19,Andrea Chiesa,Fondmetal Ford,36,1:22.143
9,20,Michele Alboreto,Footwork Mugen Honda,55,1:22.167
3,21,Olivier Grouillard,Tyrrell Ilmor,8,1:22.521
32,22,Stefano Modena,Jordan Yamaha,17,1:23.003
23,23,Christian Fittipaldi,Minardi Lamborghini,2,1:25.880
