,Position,Driver,Car,Time
5,1,Nigel Mansell,Williams Renault,1:16.346
6,2,Riccardo Patrese,Williams Renault,1:16.362
19,3,Michael Schumacher,Benetton Ford,1:17.292
20,4,Martin Brundle,Benetton Ford,1:18.588
2,5,Gerhard Berger,McLaren Honda,1:18.589
1,6,Ayrton Senna,McLaren Honda,1:18.791
21,7,Jyrki Jarvilehto,Dallara Ferrari,1:19.111
33,8,Mauricio Gugelmin,Jordan Yamaha,1:19.355
22,9,Pierluigi Martini,Dallara Ferrari,1:19.378
27,10,Jean Alesi,Ferrari,1:19.417
4,11,Andrea de Cesaris,Tyrrell Ilmor,1:19.423
12,12,Johnny Herbert,Lotus Ford,1:19.509
29,13,Bertrand Gachot,Venturi Lamborghini,1:19.743
15,14,Gabriele Tarquini,Fondmetal Ford,1:19.769
32,15,Stefano Modena,Jordan Yamaha,1:19.957
3,16,Olivier Grouillard,Tyrrell Ilmor,1:19.961
23,17,Christian Fittipaldi,Minardi Lamborghini,1:20.042
11,18,Mika Hakkinen,Lotus Ford,1:20.145
16,19,Karl Wendlinger,March Ilmor,1:20.200
28,20,Ivan Capelli,Ferrari,1:20.223
24,21,Gianni Morbidelli,Minardi Lamborghini,1:20.227
25,22,Thierry Boutsen,Ligier Renault,1:20.395
14,23,Andrea Chiesa,Fondmetal Ford,1:20.845
30,24,Ukyo Katayama,Venturi Lamborghini,1:20.935
9,25,Michele Alboreto,Footwork Mugen Honda,1:21.064
26,26,Erik Comas,Ligier Renault,1:21.122
