,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,71,1:40:31.402,25
6,2,Nico Rosberg,Mercedes,71,+8.354s,18
3,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,71,+20.858s,15
33,4,Max Verstappen,Red Bull Racing TAG Heuer,71,+21.323s,12
5,5,Sebastian Vettel,Ferrari,71,+27.313s,10
7,6,Kimi Räikkönen,Ferrari,71,+49.376s,8
27,7,Nico Hulkenberg,Force India Mercedes,71,+58.891s,6
77,8,Valtteri Bottas,Williams Mercedes,71,+65.612s,4
19,9,Felipe Massa,Williams Mercedes,71,+76.206s,2
11,10,Sergio Perez,Force India Mercedes,71,+76.798s,1
9,11,Marcus Ericsson,Sauber Ferrari,70,+1 lap,0
22,12,Jenson Button,McLaren Honda,70,+1 lap,0
14,13,Fernando Alonso,McLaren Honda,70,+1 lap,0
30,14,Jolyon Palmer,Renault,70,+1 lap,0
12,15,Felipe Nasr,Sauber Ferrari,70,+1 lap,0
55,16,Carlos Sainz,Toro Rosso Ferrari,70,+1 lap,0
20,17,Kevin Magnussen,Renault,70,+1 lap,0
26,18,Daniil Kvyat,Toro Rosso Ferrari,70,+1 lap,0
21,19,Esteban Gutierrez ,Haas Ferrari,70,+1 lap,0
8,20,Romain Grosjean,Haas Ferrari,70,+1 lap,0
31,21,Esteban Ocon,MRT Mercedes,69,+2 laps,0
94,NC,Pascal Wehrlein,MRT Mercedes,0,DNF,0
