,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:17.824,42
44,2,Lewis Hamilton,Mercedes,+0.466s,35
33,3,Max Verstappen,Red Bull Racing TAG Heuer,+0.571s,16
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,+0.597s,28
5,5,Sebastian Vettel,Ferrari,+0.762s,28
7,6,Kimi Räikkönen,Ferrari,+1.184s,27
11,7,Sergio Perez,Force India Mercedes,+1.416s,21
14,8,Fernando Alonso,McLaren Honda,+1.522s,20
19,9,Felipe Massa,Williams Mercedes,+1.619s,32
27,10,Nico Hulkenberg,Renault,+1.728s,19
55,11,Carlos Sainz,Renault,+1.730s,24
18,12,Lance Stroll,Williams Mercedes,+1.948s,34
20,13,Kevin Magnussen,Haas Ferrari,+2.820s,16
94,14,Pascal Wehrlein,Sauber Ferrari,+3.147s,30
50,15,Antonio Giovinazzi,Haas Ferrari,+3.445s,26
37,16,Charles Leclerc,Sauber Ferrari,+3.622s,28
38,17,Sean Gelael,Toro Rosso,+3.815s,29
28,18,Brendon Hartley,Toro Rosso,+3.923s,10
34,19,Alfonso Celis,Force India Mercedes,+4.518s,17
2,20,Stoffel Vandoorne,McLaren Honda,,3
