,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
77,1,Valtteri Bottas,Mercedes,69,1:17.774,199.223,14:42:16
33,2,Max Verstappen,Red Bull Racing Honda,52,1:18.999,196.134,14:16:18
11,3,Sergio Perez,Red Bull Racing Honda,49,1:19.468,194.976,14:12:37
44,4,Lewis Hamilton,Mercedes,66,1:19.820,194.116,14:35:18
55,5,Carlos Sainz,Ferrari,63,1:20.081,193.484,14:32:08
5,6,Sebastian Vettel,Aston Martin Mercedes,70,1:20.460,192.572,14:41:53
10,7,Pierre Gasly,AlphaTauri Honda,66,1:20.510,192.453,14:36:02
4,8,Lando Norris,McLaren Mercedes,67,1:20.617,192.197,14:38:07
16,9,Charles Leclerc,Ferrari,63,1:20.665,192.083,14:32:14
14,10,Fernando Alonso,Alpine Renault,54,1:20.711,191.973,14:20:26
7,11,Kimi Räikkönen,Alfa Romeo Racing Ferrari,63,1:20.713,191.969,14:32:31
18,12,Lance Stroll,Aston Martin Mercedes,61,1:20.930,191.454,14:30:58
3,13,Daniel Ricciardo,McLaren Mercedes,40,1:21.069,191.126,14:01:52
31,14,Esteban Ocon,Alpine Renault,67,1:21.348,190.470,14:38:51
9,15,Nikita Mazepin,Haas Ferrari,61,1:21.402,190.344,14:32:53
99,16,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,68,1:21.523,190.061,14:40:00
6,17,Nicholas Latifi,Williams Mercedes,66,1:21.546,190.008,14:38:31
63,18,George Russell,Williams Mercedes,61,1:22.016,188.919,14:31:13
