,Position,Driver,Car,Time
16,1,Charles Leclerc,Ferrari,1:28.796
55,2,Carlos Sainz,Ferrari,1:28.986
1,3,Max Verstappen,Red Bull Racing RBPT,1:28.991
11,4,Sergio Perez,Red Bull Racing RBPT,1:29.036
77,5,Valtteri Bottas,Alfa Romeo Ferrari,1:29.475
44,6,Lewis Hamilton,Mercedes,1:29.625
10,7,Pierre Gasly,AlphaTauri RBPT,1:29.690
4,8,Lando Norris,McLaren Mercedes,1:29.750
22,9,Yuki Tsunoda,AlphaTauri RBPT,1:29.932
18,10,Lance Stroll,Aston Martin Aramco Mercedes,1:30.676
14,11,Fernando Alonso,Alpine Renault,1:30.160
63,12,George Russell,Mercedes,1:30.173
5,13,Sebastian Vettel,Aston Martin Aramco Mercedes,1:30.214
3,14,Daniel Ricciardo,McLaren Mercedes,1:30.310
47,15,Mick Schumacher,Haas Ferrari,1:30.423
20,16,Kevin Magnussen,Haas Ferrari,1:30.975
24,17,Guanyu Zhou,Alfa Romeo Ferrari,1:31.020
23,18,Alexander Albon,Williams Mercedes,1:31.266
6,19,Nicholas Latifi,Williams Mercedes,1:31.325
31,20,Esteban Ocon,Alpine Renault,
