,Position,Driver,Car,Laps,Time,Points
32,1,Juan Manuel Fangio,Maserati,105,3:10:12.800,9
20,2,Tony Brooks,Vanwall,105,+25.200s,6
2,3,Masten Gregory,Maserati,103,+2 laps,4
10,4,Stuart  Lewis-Evans ,Connaught Alta,102,+3 laps,3
30,5,Maurice  Trintignant,Ferrari,100,+5 laps,2
14,6,Jack Brabham,Cooper Climax,100,+5 laps,0
24,7,Mike Hawthorn,Ferrari,95,DNF,0
34,NC,Harry Schell,Maserati,64,DNF,0
6,NC,Ron Flockhart,BRM,60,DNF,0
36,NC,Carlos Menditeguy,Maserati,51,DNF,0
12,NC,Ivor  Bueb ,Connaught Alta,47,DNF,0
38,NC,Harry Schell,Maserati,23,DNF,0
22,NC,Horace  Gould ,Maserati,10,DNF,0
28,NC,Mike Hawthorn,Ferrari,4,DNF,0
26,NC,Peter Collins,Ferrari,4,DNF,0
18,NC,Stirling Moss,Vanwall,4,DNF,0
