,Position,Driver,Car,Time
11,1,Jody Scheckter,Ferrari,1:26.450
12,2,Gilles Villeneuve,Ferrari,1:26.520
25,3,Patrick Depailler,Ligier Ford,1:27.110
5,4,Niki Lauda,Brabham Ford,1:27.210
26,5,Jacques Laffite,Ligier Ford,1:27.260
4,6,Jean-Pierre Jarier,Tyrrell Ford,1:27.420
3,7,Didier Pironi,Tyrrell Ford,1:27.420
30,8,Jochen Mass,Arrows Ford,1:27.470
27,9,Alan  Jones,Williams Ford,1:27.670
20,10,James Hunt,Wolf Ford,1:27.960
2,11,Carlos Reutemann,Lotus Ford,1:27.990
9,12,Hans-Joachim Stuck,ATS Ford,1:28.220
1,13,Mario Andretti,Lotus Ford,1:28.230
7,14,John Watson,McLaren Ford,1:28.230
29,15,Riccardo Patrese,Arrows Ford,1:28.300
28,16,Clay Regazzoni,Williams Ford,1:28.480
14,17,Emerson Fittipaldi,Fittipaldi Ford,1:28.490
6,18,Nelson Piquet,Brabham Ford,1:28.520
16,19,Rene Arnoux,Renault,1:28.570
15,20,Jean-Pierre Jabouille,Renault,1:28.680
