,Position,Driver,Car,Time
5,1,Nigel Mansell,Williams Honda,1:23.039
12,2,Ayrton Senna,Lotus Honda,1:23.711
6,3,Nelson Piquet,Williams Honda,1:24.755
1,4,Alain Prost,McLaren TAG,1:25.083
27,5,Michele Alboreto,Ferrari,1:26.102
18,6,Eddie  Cheever,Arrows Megatron,1:26.175
2,7,Stefan Johansson,McLaren TAG,1:26.317
28,8,Gerhard Berger,Ferrari,1:26.323
20,9,Thierry Boutsen,Benetton Ford,1:26.630
7,10,Riccardo Patrese,Brabham BMW,1:26.763
17,11,Derek Warwick,Arrows Megatron,1:27.294
19,12,Teo Fabi,Benetton Ford,1:27.622
24,13,Alessandro Nannini,Minardi Motori Moderni,1:27.731
9,14,Martin Brundle,Zakspeed,1:27.894
3,15,Jonathan  Palmer,Tyrrell Ford,1:28.088
21,16,Alex Caffi,Osella Alfa Romeo,1:28.233
11,17,Satoru Nakajima,Lotus Honda,1:28.890
30,18,Philippe Alliot,Lola Ford,1:29.114
16,19,Ivan Capelli,March Ford,1:29.147
26,20,Piercarlo Ghinzani,Ligier Megatron,1:29.258
8,21,Andrea de Cesaris,Brabham BMW,1:29.827
25,22,Rene Arnoux,Ligier Megatron,1:30.000
4,23,Philippe Streiff,Tyrrell Ford,1:30.143
23,24,Adrian Campos,Minardi Motori Moderni,1:30.805
14,25,Pascal Fabre,AGS Ford,1:31.667
