,Position,Driver,Car,Time / Gap
2,1,Alain Prost,Williams Renault,1:21.731
28,2,Gerhard Berger,Ferrari,+0.361s
8,3,Ayrton Senna,McLaren Ford,+0.456s
6,4,Riccardo Patrese,Benetton Ford,+0.478s
29,5,Karl Wendlinger,Sauber,+0.527s
5,6,Michael Schumacher,Benetton Ford,+0.806s
27,7,Jean Alesi,Ferrari,+1.530s
0,8,Damon Hill,Williams Renault,+2.220s
30,9,Jyrki Jarvilehto,Sauber,+2.275s
9,10,Derek Warwick,Footwork Mugen Honda,+2.375s
7,11,Michael Andretti,McLaren Ford,+2.780s
25,12,Martin Brundle,Ligier Renault,+2.842s
10,13,Aguri Suzuki,Footwork Mugen Honda,+2.888s
20,14,Erik Comas,Larrousse Lamborghini,+3.074s
26,15,Mark Blundell,Ligier Renault,+3.192s
14,16,Rubens Barrichello,Jordan Hart,+3.274s
23,17,Christian Fittipaldi,Minardi Ford,+3.640s
24,18,Fabrizio Barbazza,Minardi Ford,+3.768s
4,19,Andrea de Cesaris,Tyrrell Yamaha,+3.878s
12,20,Johnny Herbert,Lotus Ford,+4.001s
11,21,Alessandro Zanardi,Lotus Ford,+4.259s
3,22,Ukyo Katayama,Tyrrell Yamaha,+4.744s
15,23,Thierry Boutsen,Jordan Hart,+5.254s
19,24,Philippe Alliot,Larrousse Lamborghini,+5.772s
21,25,Michele Alboreto,Lola Ferrari,+5.787s
22,26,Luca Badoer,Lola Ferrari,+8.690s
