,Position,Driver,Car,Lap,Time,Avg Speed
6,1,Kimi Räikkönen,McLaren Mercedes,49,1:14.545,161.298
1,2,Michael Schumacher,Ferrari,30,1:14.707,160.948
4,3,Ralf Schumacher,Williams BMW,77,1:14.768,160.817
3,4,Juan Pablo Montoya,Williams BMW,47,1:14.902,160.529
2,5,Rubens Barrichello,Ferrari,59,1:15.307,159.666
8,6,Fernando Alonso,Renault,58,1:15.397,159.475
5,7,David Coulthard,McLaren Mercedes,51,1:15.439,159.387
7,8,Jarno Trulli,Renault,51,1:15.679,158.881
21,9,Cristiano da Matta,Toyota,51,1:16.282,157.625
16,10,Jacques Villeneuve,BAR Honda,50,1:16.292,157.604
11,11,Giancarlo Fisichella,Jordan Ford,72,1:16.647,156.875
9,12,Nick Heidfeld,Sauber Petronas,75,1:16.835,156.491
12,13,Ralph Firman,Jordan Ford,51,1:17.208,155.735
20,14,Olivier Panis,Toyota,70,1:17.777,154.595
14,15,Mark Webber,Jaguar Cosworth,13,1:18.004,154.145
19,16,Jos Verstappen,Minardi Cosworth,25,1:19.146,151.921
18,17,Justin Wilson,Minardi Cosworth,19,1:19.169,151.877
15,18,Antonio Pizzonia,Jaguar Cosworth,8,1:19.437,151.365
