,Position,Driver,Car,Q1,Q2,Q3,Laps
22,1,Jenson Button,Brawn Mercedes,1:15.210,1:15.016,1:14.902,25
4,2,Kimi Räikkönen,Ferrari,1:15.746,1:14.514,1:14.927,31
23,3,Rubens Barrichello,Brawn Mercedes,1:15.425,1:14.829,1:15.077,26
15,4,Sebastian Vettel,RBR Renault,1:15.915,1:14.879,1:15.271,27
3,5,Felipe Massa,Ferrari,1:15.340,1:15.001,1:15.437,28
16,6,Nico Rosberg,Williams Toyota,1:15.094,1:14.846,1:15.455,23
2,7,Heikki Kovalainen,McLaren Mercedes,1:15.495,1:14.809,1:15.516,24
14,8,Mark Webber,RBR Renault,1:15.260,1:14.825,1:15.653,20
7,9,Fernando Alonso,Renault,1:15.898,1:15.200,1:16.009,24
17,10,Kazuki Nakajima,Williams Toyota,1:15.930,1:15.579,1:17.344,28
12,11,Sebastien Buemi,STR Ferrari,1:15.834,1:15.833,,17
8,12,Nelson Piquet,Renault,1:16.013,1:15.837,,22
21,13,Giancarlo Fisichella,Force India Mercedes,1:16.063,1:16.146,,18
11,14,Sebastien Bourdais,STR Ferrari,1:16.120,1:16.281,,19
20,15,Adrian Sutil,Force India Mercedes,1:16.248,1:16.545,,19
1,16,Lewis Hamilton,McLaren Mercedes,1:16.264,,,4
6,17,Nick Heidfeld,Sauber BMW,1:16.264,,,11
5,18,Robert Kubica,Sauber BMW,1:16.405,,,12
9,19,Jarno Trulli,Toyota,1:16.548,,,11
10,20,Timo Glock,Toyota,1:16.788,,,12
