,Position,Driver,Car,Laps,Time,Points
6,1,Jim Clark,Lotus Climax,80,2:03:59.100,9
12,2,Jackie Stewart,BRM,80,+8.000s,6
16,3,Dan Gurney,Brabham Climax,80,+13.000s,4
10,4,Graham Hill,BRM,80,+45.100s,3
14,5,Denny Hulme,Brabham Climax,79,+1 lap,2
22,6,Richie Ginther,Honda,79,+1 lap,1
2,7,John Surtees,Ferrari,79,+1 lap,0
8,8,Mike Spence,Lotus Climax,79,+1 lap,0
4,9,Lorenzo Bandini,Ferrari,79,+1 lap,0
38,10,Innes Ireland,Lotus BRM,78,+2 laps,0
30,11,Frank Gardner,Brabham BRM,77,+3 laps,0
34,12,Richard Attwood,Lotus BRM,77,+3 laps,0
28,13,Jo Siffert,Brabham BRM,55,+25 laps,0
20,NC,Jochen Rindt,Cooper Climax,48,DNF,0
18,NC,Bruce McLaren,Cooper Climax,36,DNF,0
26,NC,Jo Bonnier,Brabham Climax,16,DNF,0
36,NC,Bob Anderson,Brabham Climax,11,DNF,0
