,Position,Driver,Car,Time
10,1,Jochen Rindt,Lotus Ford,1:18.500
5,2,Jackie Stewart,Tyrrell Ford,1:18.730
25,3,Jacky Ickx,Ferrari,1:18.930
8,4,Chris Amon,March Ford,1:19.250
2,5,Jackie Oliver,BRM,1:19.300
26,6,Clay Regazzoni,Ferrari,1:19.480
1,7,Pedro Rodriguez,BRM,1:20.070
12,8,John   Miles,Lotus Ford,1:20.240
4,9,Piers   Courage,De Tomaso Ford,1:20.320
23,10,Jean-Pierre Beltoise,Matra,1:20.380
20,11,Peter  Gethin ,McLaren Alfa Romeo,1:20.410
18,12,Jack Brabham,Brabham Ford,1:20.760
24,13,Henri Pescarolo,Matra,1:20.890
16,14,John Surtees,McLaren Ford,1:21.180
6,15,Francois  Cevert ,Tyrrell Ford,1:21.180
22,16,Ronnie Peterson,March Ford,1:21.240
9,17,Jo Siffert,March Ford,1:21.270
3,18,George Eaton,BRM,1:21.350
32,19,Dan Gurney,McLaren Alfa Romeo,1:21.360
15,20,Graham Hill,Lotus Ford,1:21.750
