,Position,Driver,Car,Lap,Time
1,1,Michael Schumacher,Benetton Renault,40,1:16.374
5,2,Damon Hill,Williams Renault,72,1:16.444
6,3,David Coulthard,Williams Renault,4,1:16.674
15,4,Eddie Irvine,Jordan Peugeot,76,1:16.927
28,5,Gerhard Berger,Ferrari,63,1:17.795
27,6,Jean Alesi,Ferrari,8,1:17.854
30,7,Heinz-Harald Frentzen,Sauber Ford,56,1:17.913
2,8,Johnny Herbert,Benetton Renault,65,1:18.164
14,9,Rubens Barrichello,Jordan Peugeot,43,1:18.326
26,10,Olivier Panis,Ligier Mugen Honda,29,1:18.335
8,11,Jan Magnussen,McLaren Mercedes,68,1:18.631
7,12,Mark Blundell,McLaren Mercedes,46,1:18.983
3,13,Ukyo Katayama,Tyrrell Yamaha,61,1:19.574
25,14,Aguri Suzuki,Ligier Mugen Honda,3,1:19.816
4,15,Mika Salo,Tyrrell Yamaha,69,1:19.878
9,16,Gianni Morbidelli,Footwork Hart,23,1:19.975
23,17,Pedro Lamy,Minardi Ford,4,1:20.055
29,18,Jean-Christophe Boullion,Sauber Ford,6,1:20.099
24,19,Luca Badoer,Minardi Ford,77,1:20.299
17,20,Andrea Montermini,Pacific Ilmor,4,1:21.355
10,21,Taki Inoue,Footwork Hart,7,1:21.503
22,22,Roberto Moreno,Forti Ford,60,1:22.102
21,23,Pedro Diniz,Forti Ford,32,1:22.528
16,24,Bertrand Gachot,Pacific Ilmor,2,1:26.608
