,Position,Driver,Car,Time / Gap
11,1,Alain Prost,McLaren Honda,1:18.143
28,2,Gerhard Berger,Ferrari,+1.056s
15,3,Mauricio Gugelmin,March Judd,+1.445s
27,4,Michele Alboreto,Ferrari,+1.621s
6,5,Riccardo Patrese,Williams Judd,+1.721s
19,6,Alessandro Nannini,Benetton Ford,+1.722s
5,7,Nigel Mansell,Williams Judd,+1.795s
16,8,Ivan Capelli,March Judd,+2.051s
22,9,Andrea de Cesaris,Rial Ford,+2.383s
1,10,Nelson Piquet,Lotus Honda,+2.437s
2,11,Satoru Nakajima,Lotus Honda,+2.472s
36,12,Alex Caffi,Dallara Ford,+2.987s
23,13,Pierluigi Martini,Minardi Ford,+3.021s
29,14,Yannick Dalmas,Lola Ford,+3.109s
21,15,Nicola Larini,Osella,+3.233s
17,16,Derek Warwick,Arrows Megatron,+3.373s
12,17,Ayrton Senna,McLaren Honda,+3.494s
18,18,Eddie  Cheever,Arrows Megatron,+3.511s
20,19,Thierry Boutsen,Benetton Ford,+3.588s
14,20,Philippe Streiff,AGS Ford,+3.641s
30,21,Philippe Alliot,Lola Ford,+3.662s
31,22,Gabriele Tarquini,Coloni Ford,+4.144s
25,23,Rene Arnoux,Ligier Judd,+4.163s
26,24,Stefan Johansson,Ligier Judd,+4.189s
3,25,Jonathan  Palmer,Tyrrell Ford,+4.198s
9,26,Piercarlo Ghinzani,Zakspeed,+4.318s
4,27,Julian Bailey,Tyrrell Ford,+4.485s
10,28,Bernd Schneider,Zakspeed,+4.565s
33,29,Stefano Modena,Euro Brun Ford,+5.049s
24,30,Luis Perez-Sala,Minardi Ford,+5.109s
