,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:16.652
77,2,Valtteri Bottas,Mercedes,1:16.754
33,3,Max Verstappen,Red Bull Racing Honda,1:16.904
16,4,Charles Leclerc,Ferrari,1:17.090
11,5,Sergio Perez,Racing Point BWT Mercedes,1:17.223
23,6,Alexander Albon,Red Bull Racing Honda,1:17.437
55,7,Carlos Sainz,McLaren Renault,1:17.520
4,8,Lando Norris,McLaren Renault,1:17.525
10,9,Pierre Gasly,AlphaTauri Honda,1:17.803
3,10,Daniel Ricciardo,Renault,
31,11,Esteban Ocon,Renault,1:17.614
18,12,Lance Stroll,Racing Point BWT Mercedes,1:17.626
26,13,Daniil Kvyat,AlphaTauri Honda,1:17.728
63,14,George Russell,Williams Mercedes,1:17.788
5,15,Sebastian Vettel,Ferrari,1:17.919
7,16,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:18.201
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:18.323
8,18,Romain Grosjean,Haas Ferrari,1:18.364
20,19,Kevin Magnussen,Haas Ferrari,1:18.508
6,20,Nicholas Latifi,Williams Mercedes,1:18.777
