,Position,Driver,Car,Time / Gap,Laps
33,1,Max Verstappen,Red Bull Racing Honda,1:18.489,21
44,2,Lewis Hamilton,Mercedes,+0.236s,21
77,3,Valtteri Bottas,Mercedes,+0.331s,19
11,4,Sergio Perez,Red Bull Racing Honda,+0.351s,25
31,5,Esteban Ocon,Alpine Renault,+0.371s,19
16,6,Charles Leclerc,Ferrari,+0.512s,23
55,7,Carlos Sainz,Ferrari,+0.561s,24
4,8,Lando Norris,McLaren Mercedes,+0.783s,18
10,9,Pierre Gasly,AlphaTauri Honda,+0.885s,26
7,10,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+0.926s,26
22,11,Yuki Tsunoda,AlphaTauri Honda,+0.996s,25
3,12,Daniel Ricciardo,McLaren Mercedes,+1.093s,19
99,13,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.099s,23
14,14,Fernando Alonso,Alpine Renault,+1.460s,20
47,15,Mick Schumacher,Haas Ferrari,+1.544s,22
18,16,Lance Stroll,Aston Martin Mercedes,+1.601s,17
63,17,George Russell,Williams Mercedes,+1.638s,18
5,18,Sebastian Vettel,Aston Martin Mercedes,+1.725s,21
6,19,Nicholas Latifi,Williams Mercedes,+2.192s,19
9,20,Nikita Mazepin,Haas Ferrari,+2.201s,20
