,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
77,1,Valtteri Bottas,Williams Mercedes,53,1:40.896,208.658,16:36:01
6,2,Nico Rosberg,Mercedes,52,1:41.360,207.703,16:34:16
44,3,Lewis Hamilton,Mercedes,48,1:41.606,207.200,16:27:10
22,4,Jenson Button,McLaren Mercedes,47,1:41.964,206.472,16:26:00
26,5,Daniil Kvyat,STR Renault,52,1:42.022,206.355,16:35:46
14,6,Fernando Alonso,Ferrari,53,1:42.179,206.038,16:36:44
25,7,Jean-Eric Vergne,STR Renault,53,1:42.550,205.293,16:37:21
1,8,Sebastian Vettel,Red Bull Racing Renault,53,1:42.630,205.133,16:36:50
27,9,Nico Hulkenberg,Force India Mercedes,50,1:42.685,205.023,16:31:56
19,10,Felipe Massa,Williams Mercedes,47,1:42.879,204.636,16:26:46
7,11,Kimi Räikkönen,Ferrari,45,1:42.919,204.556,16:23:17
11,12,Sergio Perez,Force India Mercedes,47,1:42.924,204.547,16:26:45
3,13,Daniel Ricciardo,Red Bull Racing Renault,50,1:43.050,204.296,16:31:36
20,14,Kevin Magnussen,McLaren Mercedes,44,1:43.076,204.245,16:21:06
99,15,Adrian Sutil,Sauber Ferrari,42,1:43.822,202.777,16:18:53
9,16,Marcus Ericsson,Caterham Renault,48,1:43.979,202.471,16:30:32
13,17,Pastor Maldonado,Lotus Renault,50,1:44.030,202.372,16:33:28
21,18,Esteban Gutierrez ,Sauber Ferrari,45,1:44.075,202.284,16:23:56
8,19,Romain Grosjean,Lotus Renault,49,1:44.461,201.537,16:31:17
10,20,Kamui Kobayashi,Caterham Renault,17,1:47.407,196.009,15:34:55
4,21,Max Chilton,Marussia Ferrari,8,1:48.268,194.450,15:19:10
