,Position,Driver,Car,Q1,Q2,Q3,Laps
6,1,Nico Rosberg,Mercedes,1:36.119,1:35.337,1:35.417,16
5,2,Sebastian Vettel,Ferrari,1:36.555,1:36.623,1:36.123,16
77,3,Valtteri Bottas,Williams Mercedes,1:37.746,1:37.140,1:36.536,17
7,4,Kimi Räikkönen,Ferrari,1:36.976,1:36.741,1:36.663,17
19,5,Felipe Massa,Williams Mercedes,1:37.753,1:37.230,1:37.016,16
3,6,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:38.091,1:37.569,1:37.125,22
11,7,Sergio Perez,Force India Mercedes,1:38.006,1:37.282,1:37.212,20
26,8,Daniil Kvyat,Red Bull Racing TAG Heuer,1:38.265,1:37.606,1:37.459,22
33,9,Max Verstappen,Toro Rosso Ferrari,1:38.123,1:37.510,1:37.583,20
44,10,Lewis Hamilton,Mercedes,1:36.006,1:35.820,,13
55,11,Carlos Sainz,Toro Rosso Ferrari,1:37.784,1:37.652,,14
22,12,Jenson Button,McLaren Honda,1:38.332,1:37.701,,14
27,13,Nico Hulkenberg,Force India Mercedes,1:38.562,1:37.771,,17
14,14,Fernando Alonso,McLaren Honda,1:37.971,1:37.807,,14
8,15,Romain Grosjean,Haas Ferrari,1:38.383,1:38.055,,16
21,16,Esteban Gutierrez ,Haas Ferrari,1:38.678,1:38.115,,18
20,17,Kevin Magnussen,Renault,1:38.914,,,10
30,18,Jolyon Palmer,Renault,1:39.009,,,9
12,19,Felipe Nasr,Sauber Ferrari,1:39.018,,,10
94,20,Pascal Wehrlein,MRT Mercedes,1:39.399,,,10
88,21,Rio Haryanto,MRT Mercedes,1:39.463,,,10
9,22,Marcus Ericsson,Sauber Ferrari,1:39.519,,,10
