,Position,Driver,Car,Laps,Time,Points
6,1,Nico Rosberg,Mercedes,53,1:32:41.997,25
44,2,Lewis Hamilton,Mercedes,53,+25.022s,18
7,3,Kimi Räikkönen,Ferrari,53,+31.998s,15
77,4,Valtteri Bottas,Williams Mercedes,53,+50.217s,12
19,5,Felipe Massa,Williams Mercedes,53,+74.427s,10
14,6,Fernando Alonso,McLaren Honda,52,+1 lap,8
20,7,Kevin Magnussen,Renault,52,+1 lap,6
8,8,Romain Grosjean,Haas Ferrari,52,+1 lap,4
11,9,Sergio Perez,Force India Mercedes,52,+1 lap,2
22,10,Jenson Button,McLaren Honda,52,+1 lap,1
3,11,Daniel Ricciardo,Red Bull Racing TAG Heuer,52,+1 lap,0
55,12,Carlos Sainz,Toro Rosso Ferrari,52,+1 lap,0
30,13,Jolyon Palmer,Renault,52,+1 lap,0
9,14,Marcus Ericsson,Sauber Ferrari,52,+1 lap,0
26,15,Daniil Kvyat,Red Bull Racing TAG Heuer,52,+1 lap,0
12,16,Felipe Nasr,Sauber Ferrari,52,+1 lap,0
21,17,Esteban Gutierrez ,Haas Ferrari,52,+1 lap,0
94,18,Pascal Wehrlein,MRT Mercedes,51,+2 laps,0
33,NC,Max Verstappen,Toro Rosso Ferrari,33,DNF,0
5,NC,Sebastian Vettel,Ferrari,0,DNF,0
27,NC,Nico Hulkenberg,Force India Mercedes,0,DNF,0
88,NC,Rio Haryanto,MRT Mercedes,0,DNF,0
