,Position,Driver,Car,Time
6,1,Nico Rosberg,Mercedes,1:35.417
77,2,Valtteri Bottas,Williams Mercedes,1:36.536
7,3,Kimi Räikkönen,Ferrari,1:36.663
19,4,Felipe Massa,Williams Mercedes,1:37.016
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:37.125
11,6,Sergio Perez,Force India Mercedes,1:37.212
5,7,Sebastian Vettel,Ferrari,1:36.123
26,8,Daniil Kvyat,Red Bull Racing TAG Heuer,1:37.459
33,9,Max Verstappen,Toro Rosso Ferrari,1:37.583
44,10,Lewis Hamilton,Mercedes,
55,11,Carlos Sainz,Toro Rosso Ferrari,1:37.652
22,12,Jenson Button,McLaren Honda,1:37.701
27,13,Nico Hulkenberg,Force India Mercedes,1:37.771
14,14,Fernando Alonso,McLaren Honda,1:37.807
8,15,Romain Grosjean,Haas Ferrari,1:38.055
21,16,Esteban Gutierrez ,Haas Ferrari,1:38.115
20,17,Kevin Magnussen,Renault,1:38.914
30,18,Jolyon Palmer,Renault,1:39.009
12,19,Felipe Nasr,Sauber Ferrari,1:39.018
94,20,Pascal Wehrlein,MRT Mercedes,1:39.399
88,21,Rio Haryanto,MRT Mercedes,1:39.463
9,22,Marcus Ericsson,Sauber Ferrari,1:39.519
