,Position,Driver,Car,Time / Gap,Laps
63,1,George Russell,Mercedes,54.546,49
33,2,Max Verstappen,Red Bull Racing Honda,+0.176s,29
23,3,Alexander Albon,Red Bull Racing Honda,+0.265s,18
77,4,Valtteri Bottas,Mercedes,+0.322s,44
26,5,Daniil Kvyat,AlphaTauri Honda,+0.465s,40
10,6,Pierre Gasly,AlphaTauri Honda,+0.620s,37
31,7,Esteban Ocon,Renault,+0.727s,49
5,8,Sebastian Vettel,Ferrari,+0.735s,40
3,9,Daniel Ricciardo,Renault,+0.833s,39
16,10,Charles Leclerc,Ferrari,+0.903s,35
18,11,Lance Stroll,Racing Point BWT Mercedes,+1.012s,41
11,12,Sergio Perez,Racing Point BWT Mercedes,+1.170s,33
55,13,Carlos Sainz,McLaren Renault,+1.211s,41
7,14,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.237s,32
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.312s,35
4,16,Lando Norris,McLaren Renault,+1.532s,47
20,17,Kevin Magnussen,Haas Ferrari,+1.584s,37
6,18,Nicholas Latifi,Williams Mercedes,+2.218s,48
51,19,Pietro Fittipaldi,Haas Ferrari,+2.531s,24
89,20,Jack Aitken,Williams Mercedes,+2.641s,33
