,Position,Driver,Car,Time / Gap
12,1,Ayrton Senna,McLaren Honda,1:46.453
28,2,Gerhard Berger,Ferrari,+0.375s
19,3,Alessandro Nannini,Benetton Ford,+0.812s
27,4,Michele Alboreto,Ferrari,+1.319s
5,5,Nigel Mansell,Williams Judd,+1.596s
11,6,Alain Prost,McLaren Honda,+1.675s
20,7,Thierry Boutsen,Benetton Ford,+1.716s
6,8,Riccardo Patrese,Williams Judd,+2.073s
30,9,Philippe Alliot,Lola Ford,+3.088s
18,10,Eddie  Cheever,Arrows Megatron,+3.151s
17,11,Derek Warwick,Arrows Megatron,+3.709s
15,12,Mauricio Gugelmin,March Judd,+5.206s
1,13,Nelson Piquet,Lotus Honda,+5.337s
29,14,Yannick Dalmas,Lola Ford,+5.557s
22,15,Andrea de Cesaris,Rial Ford,+5.558s
36,16,Alex Caffi,Dallara Ford,+5.617s
2,17,Satoru Nakajima,Lotus Honda,+6.070s
9,18,Piercarlo Ghinzani,Zakspeed,+6.101s
14,19,Philippe Streiff,AGS Ford,+6.396s
3,20,Jonathan  Palmer,Tyrrell Ford,+6.428s
10,21,Bernd Schneider,Zakspeed,+6.478s
31,22,Gabriele Tarquini,Coloni Ford,+6.778s
26,23,Stefan Johansson,Ligier Judd,+7.575s
4,24,Julian Bailey,Tyrrell Ford,+7.846s
33,25,Stefano Modena,Euro Brun Ford,+8.623s
25,26,Rene Arnoux,Ligier Judd,+8.698s
32,27,Oscar Larrauri,Euro Brun Ford,+8.962s
23,28,Adrian Campos,Minardi Ford,+9.676s
24,29,Luis Perez-Sala,Minardi Ford,+10.703s
16,30,Ivan Capelli,March Judd,+28.204s
