,Position,Driver,Car,Time
9,1,Michele Alboreto,Footwork Mugen Honda,1:26.865
5,1,Nigel Mansell,Williams Renault,1:21.842
6,2,Riccardo Patrese,Williams Renault,1:22.895
29,2,Bertrand Gachot,Venturi Lamborghini,1:27.407
30,3,Ukyo Katayama,Venturi Lamborghini,1:27.601
1,3,Ayrton Senna,McLaren Honda,1:23.086
2,4,Gerhard Berger,McLaren Honda,1:23.418
14,4,Andrea Chiesa,Fondmetal Ford,1:28.480
34,5,Roberto Moreno,Moda Judd,1:28.943
19,5,Michael Schumacher,Benetton Ford,1:23.701
20,6,Martin Brundle,Benetton Ford,1:23.904
35,6,Perry McCarthy,Moda Judd,1:37.537
27,7,Jean Alesi,Ferrari,1:23.970
28,8,Ivan Capelli,Ferrari,1:24.192
25,10,Thierry Boutsen,Ligier Renault,1:25.043
10,11,Aguri Suzuki,Footwork Mugen Honda,1:25.134
16,12,Karl Wendlinger,March Ilmor,1:25.483
26,13,Erik Comas,Ligier Renault,1:25.543
4,14,Andrea de Cesaris,Tyrrell Ilmor,1:25.637
22,15,Pierluigi Martini,Dallara Ferrari,1:25.838
21,16,Jyrki Jarvilehto,Dallara Ferrari,1:25.865
33,18,Mauricio Gugelmin,Jordan Yamaha,1:26.056
3,20,Olivier Grouillard,Tyrrell Ilmor,1:26.404
24,21,Gianni Morbidelli,Minardi Lamborghini,1:26.681
15,22,Gabriele Tarquini,Fondmetal Ford,1:26.765
32,23,Stefano Modena,Jordan Yamaha,1:26.774
17,24,Paul Belmondo,March Ilmor,1:27.194
23,25,Christian Fittipaldi,Minardi Lamborghini,1:27.229
12,26,Johnny Herbert,Lotus Ford,1:27.270
11,27,Mika Hakkinen,Lotus Ford,1:27.437
8,29,Damon Hill,Brabham Judd,1:28.423
7,30,Eric van de Poele,Brabham Judd,1:28.832
