,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:26.890,11
5,2,Damon Hill,Williams Renault,1:27.105,11
6,3,Jacques Villeneuve,Williams Renault,1:27.220,12
8,4,David Coulthard,McLaren Mercedes,1:27.688,11
3,5,Jean Alesi,Benetton Renault,1:28.009,10
2,6,Eddie Irvine,Ferrari,1:28.205,12
4,7,Gerhard Berger,Benetton Renault,1:28.336,12
19,8,Mika Salo,Tyrrell Yamaha,1:28.423,12
11,9,Rubens Barrichello,Jordan Peugeot,1:28.632,12
15,10,Heinz-Harald Frentzen,Sauber Ford,1:28.785,12
7,11,Mika Hakkinen,McLaren Mercedes,1:29.079,12
12,12,Martin Brundle,Jordan Peugeot,1:29.099,12
9,13,Olivier Panis,Ligier Mugen Honda,1:29.472,11
17,14,Jos Verstappen,Footwork Hart,1:29.539,12
14,15,Johnny Herbert,Sauber Ford,1:29.541,12
18,16,Ukyo Katayama,Tyrrell Yamaha,1:29.892,11
10,17,Pedro Diniz,Ligier Mugen Honda,1:29.989,12
20,18,Pedro Lamy,Minardi Ford,1:30.471,11
21,19,Giancarlo Fisichella,Minardi Ford,1:30.814,12
16,20,Ricardo Rosset,Footwork Hart,1:31.316,10
22,21,Luca Badoer,Forti Ford,1:32.037,12
23,22,Andrea Montermini,Forti Ford,1:33.685,9
