,Position,Driver,Car,Lap,Time,Avg Speed
2,1,Rubens Barrichello,Ferrari,38,1:24.170,210.987
1,2,Michael Schumacher,Ferrari,45,1:24.281,210.709
5,3,Ralf Schumacher,Williams BMW,62,1:24.718,209.622
6,4,Juan Pablo Montoya,Williams BMW,31,1:25.040,208.828
7,5,Nick Heidfeld,Sauber Petronas,61,1:25.301,208.189
4,6,Kimi Räikkönen,McLaren Mercedes,38,1:25.483,207.746
15,7,Jenson Button,Renault,43,1:25.761,207.073
3,8,David Coulthard,McLaren Mercedes,48,1:25.896,206.747
11,9,Jacques Villeneuve,BAR Honda,46,1:25.959,206.596
12,10,Olivier Panis,BAR Honda,25,1:26.189,206.044
8,11,Felipe Massa,Sauber Petronas,34,1:26.279,205.829
14,12,Jarno Trulli,Renault,30,1:26.354,205.651
20,13,Heinz-Harald Frentzen,Arrows Cosworth,25,1:26.537,205.216
21,14,Enrique Bernoldi,Arrows Cosworth,20,1:26.783,204.634
17,15,Pedro de la Rosa,Jaguar Cosworth,30,1:27.104,203.880
16,16,Eddie Irvine,Jaguar Cosworth,29,1:27.461,203.048
23,17,Mark Webber,Minardi Asiatech,24,1:27.914,202.001
24,18,Mika Salo,Toyota,17,1:28.460,200.755
9,19,Giancarlo Fisichella,Jordan Honda,12,1:28.741,200.119
10,20,Takuma Sato,Jordan Honda,4,1:30.158,196.974
