,Position,Driver,Car,Laps,Time,Points
1,1,Michael Schumacher,Ferrari,62,1:28:12.058,10
6,2,Kimi Räikkönen,McLaren Mercedes,62,+1.882s,8
2,3,Rubens Barrichello,Ferrari,62,+2.291s,6
4,4,Ralf Schumacher,Williams BMW,62,+8.803s,5
5,5,David Coulthard,McLaren Mercedes,62,+9.411s,4
8,6,Fernando Alonso,Renault,62,+43.689s,3
3,7,Juan Pablo Montoya,Williams BMW,62,+45.271s,2
17,8,Jenson Button,BAR Honda,61,+1 lap,1
20,9,Olivier Panis,Toyota,61,+1 lap,0
9,10,Nick Heidfeld,Sauber Petronas,61,+1 lap,0
10,11,Heinz-Harald Frentzen,Sauber Petronas,61,+1 lap,0
21,12,Cristiano da Matta,Toyota,61,+1 lap,0
7,13,Jarno Trulli,Renault,61,+1 lap,0
15,14,Antonio Pizzonia,Jaguar Cosworth,60,+2 laps,0
11,15,Giancarlo Fisichella,Jordan Ford,57,DNF,0
14,NC,Mark Webber,Jaguar Cosworth,54,DNF,0
12,NC,Ralph Firman,Jordan Ford,51,DNF,0
19,NC,Jos Verstappen,Minardi Cosworth,38,DNF,0
18,NC,Justin Wilson,Minardi Cosworth,23,DNF,0
16,NC,Jacques Villeneuve,BAR Honda,19,DNF,0
