,Position,Driver,Car,Time / Gap,Laps
1,1,Fernando Alonso,Renault,1:25.043,15
5,2,Michael Schumacher,Ferrari,+0.328s,13
38,3,Robert Kubica,Sauber BMW,+0.378s,31
36,4,Anthony Davidson,Honda,+0.656s,31
6,5,Felipe Massa,Ferrari,+0.836s,16
2,6,Giancarlo Fisichella,Renault,+0.948s,15
8,7,Jarno Trulli,Toyota,+0.986s,24
35,8,Alexander Wurz,Williams Cosworth,+1.285s,31
4,9,Juan Pablo Montoya,McLaren Mercedes,+1.291s,15
16,10,Nick Heidfeld,Sauber BMW,+1.344s,7
12,11,Jenson Button,Honda,+1.384s,12
3,12,Kimi Räikkönen,McLaren Mercedes,+1.457s,16
11,13,Rubens Barrichello,Honda,+1.610s,19
19,14,Christijan Albers,MF1 Toyota,+1.740s,24
17,15,Jacques Villeneuve,Sauber BMW,+1.754s,13
37,16,Robert Doornbos,RBR Ferrari,+1.874s,27
10,17,Nico Rosberg,Williams Cosworth,+1.946s,10
20,18,Vitantonio Liuzzi,STR Cosworth,+2.085s,24
9,19,Mark Webber,Williams Cosworth,+2.114s,6
14,20,David Coulthard,RBR Ferrari,+2.460s,12
18,21,Tiago Monteiro,MF1 Toyota,+2.501s,20
7,22,Ralf Schumacher,Toyota,+2.596s,5
21,23,Scott Speed,STR Cosworth,+2.676s,25
15,24,Christian Klien,RBR Ferrari,+2.947s,12
40,25,Neel Jani,STR Cosworth,+3.318s,21
39,26,Giorgio Mondini,MF1 Toyota,+3.790s,27
22,27,Takuma Sato,Super Aguri Honda,+4.827s,23
23,28,Yuji Ide,Super Aguri Honda,+5.999s,20
