,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,47,1:30.734,244.962,22:35:18
77,2,Valtteri Bottas,Mercedes,47,1:31.408,243.155,22:35:49
33,3,Max Verstappen,Red Bull Racing Honda,35,1:31.488,242.943,22:16:43
16,4,Charles Leclerc,Ferrari,46,1:31.601,242.643,22:34:33
14,5,Fernando Alonso,Alpine Renault,46,1:31.633,242.558,22:35:40
31,6,Esteban Ocon,Alpine Renault,47,1:31.797,242.125,22:35:49
55,7,Carlos Sainz,Ferrari,37,1:31.851,241.983,22:20:44
4,8,Lando Norris,McLaren Mercedes,49,1:31.914,241.817,22:39:29
10,9,Pierre Gasly,AlphaTauri Honda,46,1:32.297,240.813,22:34:30
22,10,Yuki Tsunoda,AlphaTauri Honda,44,1:32.506,240.269,22:32:38
3,11,Daniel Ricciardo,McLaren Mercedes,43,1:32.716,239.725,22:29:48
6,12,Nicholas Latifi,Williams Mercedes,49,1:32.751,239.635,22:39:49
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,45,1:32.778,239.565,22:34:16
18,14,Lance Stroll,Aston Martin Mercedes,45,1:32.804,239.498,22:33:30
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,37,1:32.865,239.340,22:20:43
5,16,Sebastian Vettel,Aston Martin Mercedes,41,1:34.030,236.375,22:27:33
11,17,Sergio Perez,Red Bull Racing Honda,9,1:34.138,236.104,20:48:00
47,18,Mick Schumacher,Haas Ferrari,8,1:36.043,231.421,20:46:53
63,19,George Russell,Williams Mercedes,7,1:36.130,231.211,20:45:15
9,20,Nikita Mazepin,Haas Ferrari,7,1:37.043,229.036,20:45:21
