,Position,Driver,Car,Time / Gap,Laps
16,1,Charles Leclerc,Ferrari,1:30.772,17
1,2,Max Verstappen,Red Bull Racing RBPT,+0.116s,24
77,3,Valtteri Bottas,Alfa Romeo Ferrari,+0.312s,22
55,4,Carlos Sainz,Ferrari,+0.367s,14
10,5,Pierre Gasly,AlphaTauri RBPT,+0.545s,28
22,6,Yuki Tsunoda,AlphaTauri RBPT,+0.733s,26
11,7,Sergio Perez,Red Bull Racing RBPT,+0.791s,25
31,8,Esteban Ocon,Alpine Renault,+1.254s,26
44,9,Lewis Hamilton,Mercedes,+1.592s,20
14,10,Fernando Alonso,Alpine Renault,+1.609s,23
3,11,Daniel Ricciardo,McLaren Mercedes,+1.734s,24
18,12,Lance Stroll,Aston Martin Aramco Mercedes,+1.810s,23
4,13,Lando Norris,McLaren Mercedes,+1.822s,24
24,14,Guanyu Zhou,Alfa Romeo Ferrari,+1.836s,26
63,15,George Russell,Mercedes,+2.067s,19
27,16,Nico Hulkenberg,Aston Martin Aramco Mercedes,+2.262s,23
23,17,Alexander Albon,Williams Mercedes,+2.315s,25
6,18,Nicholas Latifi,Williams Mercedes,+2.757s,26
47,19,Mick Schumacher,Haas Ferrari,+3.657s,22
20,20,Kevin Magnussen,Haas Ferrari,,2
