,Position,Driver,Car,Time
11,1,Sergio Perez,Red Bull Racing RBPT,1:28.200
16,2,Charles Leclerc,Ferrari,1:28.225
55,3,Carlos Sainz,Ferrari,1:28.402
1,4,Max Verstappen,Red Bull Racing RBPT,1:28.461
31,5,Esteban Ocon,Alpine Renault,1:29.068
63,6,George Russell,Mercedes,1:29.104
14,7,Fernando Alonso,Alpine Renault,1:29.147
77,8,Valtteri Bottas,Alfa Romeo Ferrari,1:29.183
10,9,Pierre Gasly,AlphaTauri RBPT,1:29.254
20,10,Kevin Magnussen,Haas Ferrari,1:29.588
4,11,Lando Norris,McLaren Mercedes,1:29.651
24,12,Guanyu Zhou,Alfa Romeo Ferrari,1:29.819
18,13,Lance Stroll,Aston Martin Aramco Mercedes,1:31.009
3,14,Daniel Ricciardo,McLaren Mercedes,1:29.773
44,15,Lewis Hamilton,Mercedes,1:30.343
23,16,Alexander Albon,Williams Mercedes,1:30.492
27,17,Nico Hulkenberg,Aston Martin Aramco Mercedes,1:30.543
6,18,Nicholas Latifi,Williams Mercedes,1:31.817
22,19,Yuki Tsunoda,AlphaTauri RBPT,
