,Position,Driver,Car,Lap,Time,Avg Speed
7,1,Fernando Alonso,Renault,53,1:48.240,168.725
1,2,Lewis Hamilton,McLaren Mercedes,36,1:48.345,168.561
16,3,Nico Rosberg,Williams Toyota,9,1:48.352,168.550
22,4,Jenson Button,Brawn Mercedes,54,1:48.369,168.524
4,5,Kimi Räikkönen,Ferrari,54,1:48.391,168.490
10,6,Timo Glock,Toyota,34,1:48.396,168.482
15,7,Sebastian Vettel,RBR Renault,10,1:48.398,168.479
23,8,Rubens Barrichello,Brawn Mercedes,50,1:48.598,168.168
9,9,Jarno Trulli,Toyota,54,1:48.816,167.831
5,10,Robert Kubica,Sauber BMW,44,1:48.847,167.784
2,11,Heikki Kovalainen,McLaren Mercedes,36,1:49.283,167.114
14,12,Mark Webber,RBR Renault,35,1:49.319,167.059
17,13,Kazuki Nakajima,Williams Toyota,45,1:49.371,166.980
3,14,Giancarlo Fisichella,Ferrari,49,1:49.417,166.910
21,15,Vitantonio Liuzzi,Force India Mercedes,48,1:49.852,166.249
12,16,Sebastien Buemi,STR Ferrari,17,1:50.636,165.071
6,17,Nick Heidfeld,Sauber BMW,18,1:51.346,164.018
11,18,Jaime Alguersuari,STR Ferrari,32,1:52.483,162.360
20,19,Adrian Sutil,Force India Mercedes,15,1:52.623,162.158
8,20,Romain Grosjean,Renault,2,1:57.192,155.836
