,Position,Driver,Car,Laps,Time,Points
8,1,Fernando Alonso,Ferrari,61,1:57:53.579,25
5,2,Sebastian Vettel,RBR Renault,61,+0.293s,18
6,3,Mark Webber,RBR Renault,61,+29.141s,15
1,4,Jenson Button,McLaren Mercedes,61,+30.384s,12
4,5,Nico Rosberg,Mercedes,61,+49.394s,10
9,6,Rubens Barrichello,Williams Cosworth,61,+56.101s,8
11,7,Robert Kubica,Renault,61,+86.559s,6
7,8,Felipe Massa,Ferrari,61,+113.297s,4
14,9,Adrian Sutil,Force India Mercedes,61,+132.416s,2
10,10,Nico Hulkenberg,Williams Cosworth,61,+132.791s,1
12,11,Vitaly Petrov,Renault,60,+1 lap,0
17,12,Jaime Alguersuari,STR Ferrari,60,+1 lap,0
3,13,Michael Schumacher,Mercedes,60,+1 lap,0
16,14,Sebastien Buemi,STR Ferrari,60,+1 lap,0
25,15,Lucas di Grassi,Virgin Cosworth,59,+2 laps,0
19,16,Heikki Kovalainen,Lotus Cosworth,58,DNF,0
24,NC,Timo Glock,Virgin Cosworth,49,DNF,0
22,NC,Nick Heidfeld,Sauber Ferrari,36,DNF,0
2,NC,Lewis Hamilton,McLaren Mercedes,35,DNF,0
20,NC,Christian Klien,HRT Cosworth,31,DNF,0
23,NC,Kamui Kobayashi,Sauber Ferrari,30,DNF,0
21,NC,Bruno Senna,HRT Cosworth,29,DNF,0
18,NC,Jarno Trulli,Lotus Cosworth,27,DNF,0
15,NC,Vitantonio Liuzzi,Force India Mercedes,1,DNF,0
