,Position,Driver,Car,Time / Gap,Laps
10,1,Lewis Hamilton,Mercedes,1:47.055,20
2,2,Mark Webber,Red Bull Racing Renault,+0.365s,20
1,3,Sebastian Vettel,Red Bull Racing Renault,+0.830s,19
9,4,Nico Rosberg,Mercedes,+1.184s,23
7,5,Kimi Räikkönen,Lotus Renault,+1.299s,18
8,6,Romain Grosjean,Lotus Renault,+1.300s,12
3,7,Fernando Alonso,Ferrari,+1.307s,21
6,8,Sergio Perez,McLaren Mercedes,+2.212s,20
18,9,Jean-Eric Vergne,STR Ferrari,+2.293s,23
12,10,Esteban Gutierrez ,Sauber Ferrari,+2.300s,21
16,11,Pastor Maldonado,Williams Renault,+2.426s,20
4,12,Felipe Massa,Ferrari,+2.438s,16
17,13,Valtteri Bottas,Williams Renault,+2.455s,21
5,14,Jenson Button,McLaren Mercedes,+2.553s,20
14,15,Paul di Resta,Force India Mercedes,+2.832s,18
15,16,Adrian Sutil,Force India Mercedes,+3.037s,20
11,17,Nico Hulkenberg,Sauber Ferrari,+3.167s,17
19,18,Daniel Ricciardo,STR Ferrari,+3.702s,16
22,19,Jules Bianchi,Marussia Cosworth,+5.304s,16
23,20,Max Chilton,Marussia Cosworth,+5.618s,15
21,21,Giedo van der Garde,Caterham Renault,+5.865s,24
20,22,Charles Pic,Caterham Renault,+6.592s,23
