,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:39.403,1:37.344,1:36.015,17
33,2,Max Verstappen,Red Bull Racing TAG Heuer,1:38.751,1:37.214,1:36.334,14
5,3,Sebastian Vettel,Ferrari,1:38.218,1:37.876,1:36.628,17
77,4,Valtteri Bottas,Mercedes,1:39.291,1:37.254,1:36.702,20
7,5,Kimi Räikkönen,Ferrari,1:38.534,1:37.194,1:36.794,17
3,6,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:38.153,1:37.406,1:36.996,12
11,7,Sergio Perez,Force India Mercedes,1:38.814,1:38.342,1:37.985,19
8,8,Romain Grosjean,Haas Ferrari,1:38.685,1:38.367,1:38.320,15
31,9,Esteban Ocon,Force India Mercedes,1:38.912,1:38.534,1:38.365,20
27,10,Nico Hulkenberg,Renault,1:38.932,1:38.450,1:38.588,18
14,11,Fernando Alonso,McLaren Renault,1:39.022,1:38.641,,12
55,12,Carlos Sainz,Renault,1:39.103,1:38.716,,12
16,13,Charles Leclerc,Sauber Ferrari,1:39.206,1:38.747,,14
9,14,Marcus Ericsson,Sauber Ferrari,1:39.366,1:39.453,,14
10,15,Pierre Gasly,Scuderia Toro Rosso Honda,1:39.614,1:39.691,,13
20,16,Kevin Magnussen,Haas Ferrari,1:39.644,,,6
28,17,Brendon Hartley,Scuderia Toro Rosso Honda,1:39.809,,,8
2,18,Stoffel Vandoorne,McLaren Renault,1:39.864,,,8
35,19,Sergey Sirotkin,Williams Mercedes,1:41.263,,,8
18,20,Lance Stroll,Williams Mercedes,1:41.334,,,6
