,Position,Driver,Car,Time
5,1,Denny Hulme,McLaren Ford,1:16.280
1,2,Emerson Fittipaldi,Lotus Ford,1:16.410
7,3,Jody Scheckter,McLaren Ford,1:16.430
2,4,Ronnie Peterson,Lotus Ford,1:16.440
15,5,Clay Regazzoni,BRM,1:16.470
6,6,Peter   Revson,McLaren Ford,1:16.720
16,7,Jean-Pierre Beltoise,BRM,1:16.840
18,8,Carlos Reutemann,Brabham Ford,1:16.940
11,9,Carlos Pace,Surtees Ford,1:17.060
17,10,Niki Lauda,BRM,1:17.140
8,11,Jacky Ickx,Ferrari,1:17.160
10,12,Mike Hailwood,Surtees Ford,1:17.170
25,13,Dave Charlton,Lotus Ford,1:17.180
22,14,Jackie Oliver,Shadow Ford,1:17.640
9,15,Arturo Merzario,Ferrari,1:17.640
3,16,Jackie Stewart,Tyrrell Ford,1:17.650
19,17,Wilson Fittipaldi,Brabham Ford,1:17.950
14,18,Jean-Pierre Jarier,March Ford,1:17.980
21,19,Howden  Ganley ,Iso Marlboro Ford,1:18.070
12,20,Andrea de Adamich ,Surtees Ford,1:18.660
23,21,George  Follmer ,Shadow Ford,1:18.820
26,22,Eddie  Keizan,Tyrrell Ford,1:18.920
24,23,Mike  Beuttler ,March Ford,1:20.370
20,24,Jackie Pretorius,Iso Marlboro Ford,1:20.540
4,25,Francois  Cevert ,Tyrrell Ford,
