,Position,Driver,Car,Laps,Time,Points
11,1,Niki Lauda,Ferrari,78,1:42:21.600,9
20,2,Jody Scheckter,Wolf Ford,78,+5.200s,6
4,3,Patrick Depailler,Tyrrell Ford,78,+5.700s,4
1,4,James Hunt,McLaren Ford,78,+9.500s,3
2,5,Jochen Mass,McLaren Ford,78,+19.900s,2
7,6,John Watson,Brabham Alfa Romeo,78,+20.200s,1
19,7,Vittorio Brambilla,Surtees Ford,78,+23.600s,0
12,8,Carlos Reutemann,Ferrari,78,+26.700s,0
22,9,Clay Regazzoni,Ensign Ford,78,+46.200s,0
28,10,Emerson Fittipaldi,Fittipaldi Ford,78,+71.700s,0
18,11,Hans Binder,Surtees Ford,77,+1 lap,0
6,12,Gunnar Nilsson,Lotus Ford,77,+1 lap,0
8,13,Carlos Pace,Brabham Alfa Romeo,76,+2 laps,0
30,14,Brett Lunger,March Ford,76,+2 laps,0
14,15,Larry Perkins,BRM,73,+5 laps,0
9,NC,Alex Ribeiro,March Ford,66,DNF,0
10,NC,Hans-Joachim Stuck,March Ford,55,DNF,0
5,NC,Mario Andretti,Lotus Ford,43,DNF,0
33,NC,Boy Hayje,March Ford,33,DNF,0
16,NC,Tom Pryce,Shadow Ford,22,DNF,0
26,NC,Jacques Laffite,Ligier Matra,22,DNF,0
17,NC,Renzo Zorzi,Shadow Ford,21,DNF,0
3,NC,Ronnie Peterson,Tyrrell Ford,5,DNF,0
