,Position,Driver,Car,Lap,Time
2,1,Alain Prost,Williams Renault,40,1:19.492
30,2,Jyrki Jarvilehto,Sauber,52,1:20.113
5,3,Michael Schumacher,Benetton Ford,35,1:20.323
6,4,Riccardo Patrese,Benetton Ford,46,1:20.591
26,5,Mark Blundell,Ligier Renault,45,1:20.732
8,6,Ayrton Senna,McLaren Ford,38,1:20.755
29,7,Karl Wendlinger,Sauber,33,1:20.783
20,8,Erik Comas,Larrousse Lamborghini,50,1:20.897
25,9,Martin Brundle,Ligier Renault,50,1:20.978
28,10,Gerhard Berger,Ferrari,55,1:21.118
23,11,Christian Fittipaldi,Minardi Ford,34,1:21.790
12,12,Johnny Herbert,Lotus Ford,35,1:21.936
19,13,Philippe Alliot,Larrousse Lamborghini,22,1:22.108
14,14,Rubens Barrichello,Jordan Hart,30,1:22.292
27,15,Jean Alesi,Ferrari,17,1:22.303
9,16,Derek Warwick,Footwork Mugen Honda,55,1:22.742
11,17,Alessandro Zanardi,Lotus Ford,16,1:23.314
21,18,Michele Alboreto,Lola Ferrari,40,1:23.496
0,19,Damon Hill,Williams Renault,7,1:23.715
7,20,Michael Andretti,McLaren Ford,4,1:23.807
10,21,Aguri Suzuki,Footwork Mugen Honda,18,1:24.474
24,22,Fabrizio Barbazza,Minardi Ford,13,1:24.594
22,23,Luca Badoer,Lola Ferrari,12,1:26.074
15,24,Ivan Capelli,Jordan Hart,2,1:27.277
3,25,Ukyo Katayama,Tyrrell Yamaha,1,1:43.402
