,Position,Driver,Car,Time / Gap
8,1,Ayrton Senna,McLaren Ford,1:18.533
7,2,Michael Andretti,McLaren Ford,+0.363s
6,3,Riccardo Patrese,Benetton Ford,+0.842s
25,4,Martin Brundle,Ligier Renault,+0.847s
26,5,Mark Blundell,Ligier Renault,+1.417s
23,6,Christian Fittipaldi,Minardi Ford,+1.442s
20,7,Erik Comas,Larrousse Lamborghini,+1.470s
15,8,Ivan Capelli,Jordan Hart,+1.496s
27,9,Jean Alesi,Ferrari,+1.550s
5,10,Michael Schumacher,Benetton Ford,+1.594s
14,11,Rubens Barrichello,Jordan Hart,+1.601s
10,12,Aguri Suzuki,Footwork Mugen Honda,+1.665s
11,13,Alessandro Zanardi,Lotus Ford,+1.746s
9,14,Derek Warwick,Footwork Mugen Honda,+1.997s
28,15,Gerhard Berger,Ferrari,+2.210s
19,16,Philippe Alliot,Larrousse Lamborghini,+2.280s
2,17,Alain Prost,Williams Renault,+2.301s
0,18,Damon Hill,Williams Renault,+2.401s
30,19,Jyrki Jarvilehto,Sauber,+2.635s
29,20,Karl Wendlinger,Sauber,+2.763s
4,21,Andrea de Cesaris,Tyrrell Yamaha,+3.105s
12,22,Johnny Herbert,Lotus Ford,+3.499s
22,23,Luca Badoer,Lola Ferrari,+3.525s
24,24,Fabrizio Barbazza,Minardi Ford,+4.277s
21,25,Michele Alboreto,Lola Ferrari,+4.427s
3,26,Ukyo Katayama,Tyrrell Yamaha,+7.566s
