,Position,Driver,Car,Lap,Time,Avg Speed
8,1,Fernando Alonso,Ferrari,42,1:50.257,183.335
5,2,Sebastian Vettel,RBR Renault,44,1:50.375,183.139
2,3,Lewis Hamilton,McLaren Mercedes,42,1:50.430,183.048
7,4,Felipe Massa,Ferrari,44,1:50.502,182.928
15,5,Vitantonio Liuzzi,Force India Mercedes,45,1:51.371,181.501
9,6,Rubens Barrichello,Williams Cosworth,45,1:51.564,181.187
11,7,Robert Kubica,Renault,45,1:51.604,181.122
3,8,Michael Schumacher,Mercedes,43,1:51.835,180.748
17,9,Jaime Alguersuari,STR Ferrari,43,1:51.962,180.543
10,10,Nico Hulkenberg,Williams Cosworth,43,1:51.982,180.511
1,11,Jenson Button,McLaren Mercedes,42,1:52.193,180.171
14,12,Adrian Sutil,Force India Mercedes,40,1:52.601,179.518
12,13,Vitaly Petrov,Renault,39,1:53.031,178.835
23,14,Kamui Kobayashi,Sauber Ferrari,42,1:53.086,178.748
22,15,Nick Heidfeld,Sauber Ferrari,42,1:53.263,178.469
19,16,Heikki Kovalainen,Lotus Cosworth,43,1:55.018,175.746
16,17,Sebastien Buemi,STR Ferrari,27,1:56.768,173.112
24,18,Timo Glock,Virgin Cosworth,29,1:58.102,171.157
20,19,Sakon Yamamoto,HRT Cosworth,36,1:58.313,170.851
21,20,Bruno Senna,HRT Cosworth,30,1:59.290,169.452
6,21,Mark Webber,RBR Renault,18,2:00.025,168.414
4,22,Nico Rosberg,Mercedes,18,2:00.652,167.539
25,23,Lucas di Grassi,Virgin Cosworth,25,2:02.635,164.830
18,24,Jarno Trulli,Lotus Cosworth,20,2:05.161,161.503
