,Position,Driver,Car,Time / Gap,Laps
4,1,Jenson Button,McLaren Mercedes,1:36.910,18
3,2,Lewis Hamilton,McLaren Mercedes,+0.289s,18
2,3,Mark Webber,Red Bull Racing Renault,+0.813s,23
5,4,Fernando Alonso,Ferrari,+1.119s,21
6,5,Felipe Massa,Ferrari,+1.524s,18
7,6,Michael Schumacher,Mercedes,+2.649s,23
10,7,Vitaly Petrov,Renault,+2.702s,20
14,8,Adrian Sutil,Force India Mercedes,+2.750s,22
1,9,Sebastian Vettel,Red Bull Racing Renault,+2.785s,22
8,10,Nico Rosberg,Mercedes,+2.833s,25
15,11,Paul di Resta,Force India Mercedes,+2.937s,22
19,12,Jaime Alguersuari,STR Ferrari,+2.941s,20
18,13,Sebastien Buemi,STR Ferrari,+3.054s,21
16,14,Kamui Kobayashi,Sauber Ferrari,+3.095s,17
17,15,Sergio Perez,Sauber Ferrari,+3.120s,18
9,16,Bruno Senna,Renault,+3.541s,19
12,17,Pastor Maldonado,Williams Cosworth,+3.619s,20
11,18,Rubens Barrichello,Williams Cosworth,+3.801s,22
20,19,Heikki Kovalainen,Lotus Renault,+4.999s,18
21,20,Jarno Trulli,Lotus Renault,+5.035s,13
24,21,Timo Glock,Virgin Cosworth,+6.365s,19
25,22,Jerome d'Ambrosio,Virgin Cosworth,+7.467s,16
23,23,Vitantonio Liuzzi,HRT Cosworth,+7.511s,22
22,24,Daniel Ricciardo,HRT Cosworth,+8.233s,11
