,Position,Driver,Car,Lap,Time
6,1,Riccardo Patrese,Williams Renault,63,1:22.837
28,2,Jean Alesi,Ferrari,61,1:22.978
5,3,Nigel Mansell,Williams Renault,62,1:23.293
27,4,Alain Prost,Ferrari,60,1:23.729
15,5,Mauricio Gugelmin,Leyton House Ilmor,61,1:23.915
22,6,Jyrki Jarvilehto,Dallara Judd,60,1:24.310
1,7,Ayrton Senna,McLaren Honda,58,1:24.771
32,8,Alessandro Zanardi,Jordan Ford,60,1:24.997
23,9,Pierluigi Martini,Minardi Ferrari,62,1:25.020
20,10,Nelson Piquet,Benetton Ford,62,1:25.120
4,11,Stefano Modena,Tyrrell Honda,54,1:25.224
21,12,Emanuele Pirro,Dallara Judd,46,1:25.308
8,13,Mark Blundell,Brabham Yamaha,39,1:25.373
7,14,Martin Brundle,Brabham Yamaha,62,1:25.396
19,15,Michael Schumacher,Benetton Ford,61,1:25.546
2,16,Gerhard Berger,McLaren Honda,32,1:26.078
24,17,Gianni Morbidelli,Minardi Ferrari,57,1:26.606
3,18,Satoru Nakajima,Tyrrell Honda,60,1:26.905
14,19,Gabriele Tarquini,Fondmetal Ford,55,1:27.108
26,20,Erik Comas,Ligier Lamborghini,30,1:29.807
33,21,Andrea de Cesaris,Jordan Ford,22,1:31.399
9,22,Michele Alboreto,Footwork Porsche,21,1:33.079
11,23,Mika Hakkinen,Lotus Judd,4,1:43.739
16,24,Ivan Capelli,Leyton House Ilmor,1,1:56.083
