,Position,Driver,Car,Time
7,1,Martin Brundle,Brabham Yamaha,1:21.504
2,1,Gerhard Berger,McLaren Honda,1:18.751
5,2,Nigel Mansell,Williams Renault,1:18.970
8,2,Mark Blundell,Brabham Yamaha,1:21.727
1,3,Ayrton Senna,McLaren Honda,1:19.064
9,3,Michele Alboreto,Footwork Porsche,1:23.744
6,4,Riccardo Patrese,Williams Renault,1:19.643
14,4,Gabriele Tarquini,Fondmetal Ford,1:23.994
19,5,Michael Schumacher,Benetton Ford,1:19.733
10,5,Alex Caffi,Footwork Porsche,1:24.056
18,6,Fabrizio Barbazza,AGS Ford,1:24.744
27,6,Alain Prost,Ferrari,1:19.936
17,7,Olivier Grouillard,AGS Ford,1:25.305
28,7,Jean Alesi,Ferrari,1:20.197
16,8,Ivan Capelli,Leyton House Ilmor,1:20.584
21,9,Emanuele Pirro,Dallara Judd,1:20.651
20,10,Nelson Piquet,Benetton Ford,1:20.676
15,13,Mauricio Gugelmin,Leyton House Ilmor,1:20.743
4,14,Stefano Modena,Tyrrell Honda,1:20.788
22,15,Jyrki Jarvilehto,Dallara Judd,1:20.967
24,16,Gianni Morbidelli,Minardi Ferrari,1:21.801
33,17,Andrea de Cesaris,Jordan Ford,1:21.865
3,18,Satoru Nakajima,Tyrrell Honda,1:22.114
23,19,Pierluigi Martini,Minardi Ferrari,1:22.510
32,20,Alessandro Zanardi,Jordan Ford,1:22.580
11,21,Mika Hakkinen,Lotus Judd,1:22.646
29,23,Eric Bernard,Lola Ford,1:22.944
26,25,Erik Comas,Ligier Lamborghini,1:23.359
25,26,Thierry Boutsen,Ligier Lamborghini,1:23.553
30,27,Aguri Suzuki,Lola Ford,1:24.211
34,28,Nicola Larini,Lambo Lamborghini,1:25.330
12,29,Michael Bartels,Lotus Judd,1:25.392
35,30,Eric van de Poele,Lambo Lamborghini,1:27.501
