,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:19.407
1,2,Ayrton Senna,McLaren Honda,+0.699s
2,3,Gerhard Berger,McLaren Honda,+1.024s
19,4,Michael Schumacher,Benetton Ford,+1.276s
22,5,Jyrki Jarvilehto,Dallara Judd,+1.381s
28,6,Jean Alesi,Ferrari,+1.443s
7,7,Martin Brundle,Brabham Yamaha,+1.593s
20,8,Nelson Piquet,Benetton Ford,+1.767s
27,9,Alain Prost,Ferrari,+2.053s
4,10,Stefano Modena,Tyrrell Honda,+2.137s
8,11,Mark Blundell,Brabham Yamaha,+2.402s
15,12,Mauricio Gugelmin,Leyton House Ilmor,+2.402s
3,13,Satoru Nakajima,Tyrrell Honda,+2.582s
23,14,Pierluigi Martini,Minardi Ferrari,+2.597s
21,15,Emanuele Pirro,Dallara Judd,+2.654s
9,16,Michele Alboreto,Footwork Porsche,+3.152s
32,17,Alessandro Zanardi,Jordan Ford,+3.176s
29,18,Eric Bernard,Lola Ford,+3.523s
33,19,Andrea de Cesaris,Jordan Ford,+3.804s
25,20,Thierry Boutsen,Ligier Lamborghini,+4.255s
30,21,Aguri Suzuki,Lola Ford,+4.374s
26,22,Erik Comas,Ligier Lamborghini,+4.523s
14,23,Gabriele Tarquini,Fondmetal Ford,+4.545s
24,24,Gianni Morbidelli,Minardi Ferrari,+5.370s
6,25,Riccardo Patrese,Williams Renault,+5.424s
11,26,Mika Hakkinen,Lotus Judd,+5.427s
34,27,Nicola Larini,Lambo Lamborghini,+5.477s
16,28,Ivan Capelli,Leyton House Ilmor,+6.508s
12,29,Michael Bartels,Lotus Judd,+6.607s
35,30,Eric van de Poele,Lambo Lamborghini,+7.430s
