,Position,Driver,Car,Time,Laps
1,1,Mika Hakkinen,McLaren Mercedes,1:22.088,11
4,2,Eddie Irvine,Ferrari,1:22.219,12
2,3,David Coulthard,McLaren Mercedes,1:22.244,11
3,4,Michael Schumacher,Ferrari,1:22.277,11
11,5,Jean Alesi,Sauber Petronas,1:22.388,9
22,6,Jacques Villeneuve,BAR Supertec,1:22.703,11
16,7,Rubens Barrichello,Stewart Ford,1:22.920,11
8,8,Heinz-Harald Frentzen,Jordan Mugen Honda,1:22.938,11
19,9,Jarno Trulli,Prost Peugeot,1:23.194,12
6,10,Ralf Schumacher,Williams Supertec,1:23.303,12
7,11,Damon Hill,Jordan Mugen Honda,1:23.317,12
12,12,Pedro Diniz,Sauber Petronas,1:23.331,12
9,13,Giancarlo Fisichella,Benetton Playlife,1:23.333,12
17,14,Johnny Herbert,Stewart Ford,1:23.505,11
18,15,Olivier Panis,Prost Peugeot,1:23.559,12
23,16,Mika Salo,BAR Supertec,1:23.683,12
5,17,Alessandro Zanardi,Williams Supertec,1:23.703,12
10,18,Alexander Wurz,Benetton Playlife,1:23.824,11
14,19,Pedro de la Rosa,Arrows,1:24.619,12
15,20,Toranosuke Takagi,Arrows,1:25.280,11
21,21,Marc Gene,Minardi Ford,1:25.672,11
20,22,Luca Badoer,Minardi Ford,1:25.833,12
