,Position,Driver,Car,Time / Gap,Laps
9,1,Jenson Button,BAR Honda,1:15.984,10
7,2,Jarno Trulli,Renault,+0.031s,8
3,3,Juan Pablo Montoya,Williams BMW,+0.064s,4
4,4,Ralf Schumacher,Williams BMW,+0.249s,7
1,5,Michael Schumacher,Ferrari,+0.535s,8
10,6,Takuma Sato,BAR Honda,+0.701s,11
17,7,Olivier Panis,Toyota,+0.737s,6
2,8,Rubens Barrichello,Ferrari,+0.811s,8
5,9,David Coulthard,McLaren Mercedes,+1.122s,8
16,10,Cristiano da Matta,Toyota,+1.268s,8
11,11,Giancarlo Fisichella,Sauber Petronas,+1.293s,6
8,12,Fernando Alonso,Renault,+1.310s,4
6,13,Kimi Räikkönen,McLaren Mercedes,+1.444s,8
12,14,Felipe Massa,Sauber Petronas,+1.876s,7
18,15,Nick Heidfeld,Jordan Ford,+2.659s,13
19,16,Giorgio Pantano,Jordan Ford,+3.162s,10
15,17,Christian Klien,Jaguar Cosworth,+3.867s,18
21,18,Zsolt Baumgartner,Minardi Cosworth,+3.965s,12
20,19,Gianmaria Bruni,Minardi Cosworth,,3
14,20,Mark Webber,Jaguar Cosworth,,2
