,Position,Driver,Car,Lap,Time,Avg Speed
6,1,Felipe Massa,Ferrari,42,1:16.648,217.320
1,2,Fernando Alonso,Renault,39,1:16.723,217.108
5,3,Michael Schumacher,Ferrari,43,1:16.922,216.546
2,4,Giancarlo Fisichella,Renault,38,1:17.083,216.094
3,5,Kimi Räikkönen,McLaren Mercedes,40,1:17.357,215.328
12,6,Jenson Button,Honda,40,1:17.367,215.301
11,7,Rubens Barrichello,Honda,40,1:17.399,215.212
10,8,Nico Rosberg,Williams Cosworth,51,1:17.861,213.935
14,9,David Coulthard,RBR Ferrari,55,1:17.862,213.932
16,10,Nick Heidfeld,Sauber BMW,49,1:17.869,213.913
9,11,Mark Webber,Williams Cosworth,61,1:17.900,213.827
17,12,Jacques Villeneuve,Sauber BMW,62,1:18.050,213.417
8,13,Jarno Trulli,Toyota,42,1:18.465,212.288
20,14,Vitantonio Liuzzi,STR Cosworth,52,1:18.488,212.226
15,15,Christian Klien,RBR Ferrari,59,1:18.516,212.150
21,16,Scott Speed,STR Cosworth,41,1:18.541,212.082
7,17,Ralf Schumacher,Toyota,24,1:18.621,211.867
18,18,Tiago Monteiro,MF1 Toyota,28,1:19.265,210.145
4,19,Juan Pablo Montoya,McLaren Mercedes,17,1:19.482,209.571
19,20,Christijan Albers,MF1 Toyota,28,1:19.532,209.440
22,21,Takuma Sato,Super Aguri Honda,42,1:20.411,207.150
23,22,Franck Montagny,Super Aguri Honda,9,1:22.389,202.177
