,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,54,1:18.492,213.499,16:32:57
77,2,Valtteri Bottas,Mercedes,55,1:18.737,212.835,16:34:21
33,3,Max Verstappen,Red Bull Racing Honda,57,1:19.769,210.081,16:37:03
5,4,Sebastian Vettel,Ferrari,64,1:19.820,209.947,16:46:26
16,5,Charles Leclerc,Ferrari,57,1:20.002,209.469,16:37:07
10,6,Pierre Gasly,Red Bull Racing Honda,57,1:20.536,208.080,16:37:10
3,7,Daniel Ricciardo,Renault,56,1:20.615,207.876,16:35:56
26,8,Daniil Kvyat,Scuderia Toro Rosso Honda,64,1:20.726,207.591,16:46:47
20,9,Kevin Magnussen,Haas Ferrari,66,1:20.770,207.478,16:49:25
55,10,Carlos Sainz,McLaren Renault,59,1:20.859,207.249,16:40:00
23,11,Alexander Albon,Scuderia Toro Rosso Honda,65,1:21.028,206.817,16:48:11
8,12,Romain Grosjean,Haas Ferrari,64,1:21.057,206.743,16:46:49
27,13,Nico Hulkenberg,Renault,65,1:21.282,206.171,16:48:15
7,14,Kimi Räikkönen,Alfa Romeo Racing Ferrari,66,1:21.382,205.917,16:49:39
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,64,1:21.833,204.782,16:47:00
11,16,Sergio Perez,Racing Point BWT Mercedes,65,1:21.859,204.717,16:48:21
63,17,George Russell,Williams Mercedes,64,1:22.382,203.418,16:48:34
4,18,Lando Norris,McLaren Renault,28,1:22.561,202.977,15:53:14
88,19,Robert Kubica,Williams Mercedes,65,1:23.202,201.413,16:50:04
18,20,Lance Stroll,Racing Point BWT Mercedes,28,1:23.226,201.355,15:53:10
