,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:16.741
33,2,Max Verstappen,Red Bull Racing Honda,1:16.777
77,3,Valtteri Bottas,Mercedes,1:16.873
16,4,Charles Leclerc,Ferrari,1:17.510
31,5,Esteban Ocon,Alpine Renault,1:17.580
55,6,Carlos Sainz,Ferrari,1:17.620
3,7,Daniel Ricciardo,McLaren Mercedes,1:17.622
11,8,Sergio Perez,Red Bull Racing Honda,1:17.701
4,9,Lando Norris,McLaren Mercedes,1:18.010
14,10,Fernando Alonso,Alpine Renault,1:18.147
18,11,Lance Stroll,Aston Martin Mercedes,1:17.974
10,12,Pierre Gasly,AlphaTauri Honda,1:17.982
5,13,Sebastian Vettel,Aston Martin Mercedes,1:18.079
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:18.356
63,15,George Russell,Williams Mercedes,1:19.154
22,16,Yuki Tsunoda,AlphaTauri Honda,1:18.556
7,17,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:18.917
47,18,Mick Schumacher,Haas Ferrari,1:19.117
6,19,Nicholas Latifi,Williams Mercedes,1:19.219
9,20,Nikita Mazepin,Haas Ferrari,1:19.807
