,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,71,1:07.058,231.811,16:26:00
11,2,Sergio Perez,Red Bull Racing Honda,57,1:07.894,228.956,16:10:10
33,3,Max Verstappen,Red Bull Racing Honda,68,1:08.017,228.542,16:21:55
55,4,Carlos Sainz,Ferrari,64,1:08.609,226.570,16:18:42
77,5,Valtteri Bottas,Mercedes,43,1:08.619,226.537,15:53:42
16,6,Charles Leclerc,Ferrari,64,1:08.738,226.145,16:18:55
4,7,Lando Norris,McLaren Mercedes,65,1:08.903,225.604,16:19:43
7,8,Kimi Räikkönen,Alfa Romeo Racing Ferrari,57,1:09.128,224.869,16:11:00
3,9,Daniel Ricciardo,McLaren Mercedes,45,1:09.305,224.295,15:57:05
31,10,Esteban Ocon,Alpine Renault,70,1:09.576,223.421,16:26:16
22,11,Yuki Tsunoda,AlphaTauri Honda,41,1:09.650,223.184,15:52:10
99,12,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,39,1:09.723,222.950,15:49:58
14,13,Fernando Alonso,Alpine Renault,61,1:09.749,222.867,16:15:34
18,14,Lance Stroll,Aston Martin Mercedes,32,1:09.787,222.746,15:41:35
5,15,Sebastian Vettel,Aston Martin Mercedes,64,1:09.821,222.637,16:19:08
47,16,Mick Schumacher,Haas Ferrari,57,1:10.005,222.052,16:11:56
6,17,Nicholas Latifi,Williams Mercedes,34,1:10.104,221.739,15:45:13
63,18,George Russell,Williams Mercedes,28,1:10.499,220.496,15:37:55
9,19,Nikita Mazepin,Haas Ferrari,39,1:10.951,219.092,15:50:34
