,Position,Driver,Car,Q1,Q2,Q3,Laps
33,1,Max Verstappen,Red Bull Racing Honda,1:04.489,1:04.433,1:03.841,20
77,2,Valtteri Bottas,Mercedes,1:04.537,1:04.443,1:04.035,23
44,3,Lewis Hamilton,Mercedes,1:04.672,1:04.512,1:04.067,25
4,4,Lando Norris,McLaren Mercedes,1:04.584,1:04.298,1:04.120,17
11,5,Sergio Perez,Red Bull Racing Honda,1:04.638,1:04.197,1:04.168,21
10,6,Pierre Gasly,AlphaTauri Honda,1:04.765,1:04.429,1:04.236,18
16,7,Charles Leclerc,Ferrari,1:04.745,1:04.646,1:04.472,21
22,8,Yuki Tsunoda,AlphaTauri Honda,1:04.608,1:04.631,1:04.514,21
14,9,Fernando Alonso,Alpine Renault,1:04.971,1:04.582,1:04.574,18
18,10,Lance Stroll,Aston Martin Mercedes,1:04.821,1:04.663,1:04.708,18
63,11,George Russell,Williams Mercedes,1:05.033,1:04.671,,14
55,12,Carlos Sainz,Ferrari,1:04.859,1:04.800,,15
3,13,Daniel Ricciardo,McLaren Mercedes,1:05.142,1:04.808,,14
5,14,Sebastian Vettel,Aston Martin Mercedes,1:05.051,1:04.875,,15
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:05.092,1:04.913,,17
6,16,Nicholas Latifi,Williams Mercedes,1:05.175,,,9
31,17,Esteban Ocon,Alpine Renault,1:05.217,,,6
7,18,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:05.429,,,8
47,19,Mick Schumacher,Haas Ferrari,1:06.041,,,8
9,20,Nikita Mazepin,Haas Ferrari,1:06.192,,,9
