,Position,Driver,Car,Time / Gap,Laps
33,1,Max Verstappen,Red Bull Racing Honda,1:05.910,34
10,2,Pierre Gasly,AlphaTauri Honda,+0.256s,33
44,3,Lewis Hamilton,Mercedes,+0.422s,32
77,4,Valtteri Bottas,Mercedes,+0.476s,34
22,5,Yuki Tsunoda,AlphaTauri Honda,+0.487s,36
14,6,Fernando Alonso,Alpine Renault,+0.609s,36
31,7,Esteban Ocon,Alpine Renault,+0.641s,35
18,8,Lance Stroll,Aston Martin Mercedes,+0.674s,33
99,9,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+0.704s,29
16,10,Charles Leclerc,Ferrari,+0.719s,36
55,11,Carlos Sainz,Ferrari,+0.720s,33
3,12,Daniel Ricciardo,McLaren Mercedes,+0.759s,38
11,13,Sergio Perez,Red Bull Racing Honda,+0.786s,33
5,14,Sebastian Vettel,Aston Martin Mercedes,+0.798s,32
63,15,George Russell,Williams Mercedes,+0.938s,32
4,16,Lando Norris,McLaren Mercedes,+0.951s,35
6,17,Nicholas Latifi,Williams Mercedes,+1.270s,31
47,18,Mick Schumacher,Haas Ferrari,+1.563s,30
88,19,Robert Kubica,Alfa Romeo Racing Ferrari,+1.913s,30
9,20,Nikita Mazepin,Haas Ferrari,+2.171s,31
