,Position,Driver,Car,Time
4,1,Patrick Depailler,Tyrrell Ford,1:24.758
3,2,Jody Scheckter,Tyrrell Ford,1:25.076
12,3,Niki Lauda,Ferrari,1:25.161
11,4,Clay Regazzoni,Ferrari,1:25.276
1,5,Ronnie Peterson,Lotus Ford,1:25.390
24,6,James Hunt,March Ford,1:25.556
2,7,Jacky Ickx,Lotus Ford,1:25.650
17,8,Jean-Pierre Jarier,Shadow Ford,1:25.725
5,9,Emerson Fittipaldi,McLaren Ford,1:25.938
7,10,Carlos Reutemann,Brabham Ford,1:25.962
33,11,Mike Hailwood,McLaren Ford,1:26.040
6,12,Denny Hulme,McLaren Ford,1:26.480
14,13,Jean-Pierre Beltoise,BRM,1:26.813
28,14,John Watson,Brabham Ford,1:27.100
26,15,Graham Hill,Lola Ford,1:27.173
9,16,Reine   Wisell,March Ford,1:27.382
10,17,Vittorio Brambilla,March Ford,1:27.390
27,18,Guy Edwards,Lola Ford,1:27.407
15,19,Henri Pescarolo,BRM,1:27.503
8,20,Rikky von Opel,Brabham Ford,1:27.690
21,21,Tom  Belso,Iso Marlboro Ford,1:27.889
19,22,Jochen Mass,Surtees Ford,1:28.119
16,23,Bertil  Roos ,Shadow Ford,1:28.298
18,24,Carlos Pace,Surtees Ford,1:28.574
23,25,Leo  Kinnunen ,Surtees Ford,1:29.387
22,26,Vern Schuppan,Ensign Ford,1:29.480
