,Position,Driver,Car,Time
14,1,Juan Manuel Fangio,Alfa Romeo,2:42.100
16,2,Nino Farina,Alfa Romeo,2:42.800
12,3,Luigi Fagioli,Alfa Romeo,2:45.200
22,4,Luigi  Villoresi,Ferrari,2:46.100
18,5,Alberto Ascari,Ferrari,2:46.800
42,6,Philippe  Etancelin,Talbot-Lago,2:51.100
6,7,Yves Giraud-Cabantous,Talbot-Lago,2:52.700
30,17,Toni  Branca,Maserati,3:10.000
8,9,Eugene  Martin,Talbot-Lago,2:53.700
10,10,Louis  Rosier,Talbot-Lago,2:54.000
32,11,Toulo de Graffenried,Maserati,2:54.200
34,12,Felice  Bonetto,Maserati,2:54.600
20,13,Raymond  Sommer,Ferrari,2:54.600
4,14,Johnny Claes,Talbot-Lago,2:59.000
2,15,Nello  Pagani,Maserati,3:06.900
26,16,Louis  Chiron,Maserati,3:06.900
44,18,Harry Schell,Cooper JAP,3:11.500
